# 
x,y,rho,u,v,P,e_internal
0.0025,0.1,1,-4.28398e-136,-4.73968e-154,1,2.5
0.0075,0.1,1,-3.45341e-67,-4.04374e-85,1,2.5
0.0125,0.1,1,-6.52368e-33,-8.51214e-51,1,2.5
0.0175,0.1,1,-5.75984e-16,-9.5686e-34,1,2.5
0.0225,0.1,1,-1.57763e-15,-1.42553e-17,1,2.5
0.0275,0.1,1,9.49645e-14,-8.63754e-18,1,2.5
0.0325,0.1,1,3.18409e-13,2.36771e-15,1,2.5
0.0375,0.1,1,1.48352e-12,8.36842e-15,1,2.5
0.0425,0.1,1,3.75782e-12,3.93764e-14,1,2.5
0.0475,0.1,1,1.28406e-11,1.0231e-13,1,2.5
0.0525,0.1,1,2.97756e-11,3.5925e-13,1,2.5
0.0575,0.1,1,9.42962e-11,8.44407e-13,1,2.5
0.0625,0.1,1,2.12032e-10,2.70932e-12,1,2.5
0.0675,0.1,1,6.40579e-10,6.1281e-12,1,2.5
0.0725,0.1,1,1.40738e-09,1.8664e-11,1,2.5
0.0775,0.1,1,4.0734e-09,4.1172e-11,1,2.5
0.0825,0.1,1,8.74782e-09,1.20063e-10,1,2.5
0.0875,0.1,1,2.42397e-08,2.58902e-10,1,2.5
0.0925,0.1,1,5.08323e-08,7.23227e-10,1,2.5
0.0975,0.1,1,1.34616e-07,1.52362e-09,1,2.5
0.1025,0.1,1,2.75264e-07,4.07162e-09,1,2.5
0.1075,0.1,0.999999,6.95194e-07,8.36954e-09,0.999999,2.5
0.1125,0.1,0.999999,1.38371e-06,2.13566e-08,0.999998,2.5
0.1175,0.1,0.999997,3.32448e-06,4.27686e-08,0.999996,2.5
0.1225,0.1,0.999994,6.4278e-06,1.03979e-07,0.999992,2.49999
0.1275,0.1,0.999989,1.46491e-05,2.02492e-07,0.999984,2.49999
0.1325,0.1,0.999975,2.74467e-05,4.67882e-07,0.999965,2.49997
0.1375,0.1,0.999954,5.91332e-05,8.84191e-07,0.999935,2.49995
0.1425,0.1,0.999903,0.000107047,1.93612e-06,0.999864,2.4999
0.1475,0.1,0.999828,0.00021715,3.54165e-06,0.999759,2.49983
0.1525,0.1,0.999661,0.000378449,7.32527e-06,0.999526,2.49966
0.1575,0.1,0.999422,0.000719406,1.29323e-05,0.999191,2.49942
0.1625,0.1,0.998938,0.00120176,2.51717e-05,0.998514,2.49894
0.1675,0.1,0.998267,0.00212933,4.27408e-05,0.997575,2.49827
0.1725,0.1,0.997043,0.00339174,7.79801e-05,0.995863,2.49704
0.1775,0.1,0.995414,0.00557209,0.000126858,0.993586,2.49541
0.1825,0.1,0.992764,0.0084155,0.000216172,0.989884,2.49275
0.1875,0.1,0.989395,0.0127725,0.000335625,0.985184,2.48936
0.1925,0.1,0.98456,0.0181978,0.000533053,0.978449,2.48448
0.1975,0.1,0.978714,0.0255296,0.000787416,0.970322,2.47857
0.2025,0.1,0.971315,0.0342236,0.00116682,0.960062,2.47104
0.2075,0.1,0.962822,0.0446762,0.00163799,0.948322,2.46235
0.2125,0.1,0.953167,0.0564619,0.00227659,0.93502,2.45241
0.2175,0.1,0.942647,0.0694278,0.00304259,0.920585,2.44149
0.2225,0.1,0.931516,0.0833528,0.00400209,0.905373,2.42984
0.2275,0.1,0.919933,0.0979099,0.00511711,0.889614,2.41761
0.2325,0.1,0.908114,0.112955,0.00643625,0.873603,2.40499
0.2375,0.1,0.896183,0.128315,0.00792849,0.857515,2.39213
0.2425,0.1,0.884216,0.14387,0.00962689,0.841449,2.37908
0.2475,0.1,0.87229,0.159558,0.0115089,0.82551,2.36593
0.2525,0.1,0.860436,0.175332,0.0135951,0.809736,2.35269
0.2575,0.1,0.848679,0.191149,0.015872,0.794158,2.33939
0.2625,0.1,0.837038,0.206996,0.0183505,0.778796,2.32605
0.2675,0.1,0.825525,0.222853,0.021024,0.763665,2.31266
0.2725,0.1,0.814145,0.238709,0.0238974,0.748767,2.29924
0.2775,0.1,0.802907,0.254551,0.026968,0.734112,2.28579
0.2825,0.1,0.791816,0.270375,0.0302376,0.7197,2.27231
0.2875,0.1,0.780876,0.286168,0.0337055,0.705534,2.25879
0.2925,0.1,0.77009,0.301926,0.0373721,0.691614,2.24524
0.2975,0.1,0.759461,0.317639,0.041237,0.677941,2.23165
0.3025,0.1,0.748991,0.333303,0.0453004,0.664514,2.21803
0.3075,0.1,0.738684,0.34891,0.049562,0.651333,2.20437
0.3125,0.1,0.728541,0.364452,0.0540215,0.638396,2.19067
0.3175,0.1,0.718564,0.379923,0.0586786,0.625704,2.17692
0.3225,0.1,0.708756,0.395316,0.063533,0.613255,2.16314
0.3275,0.1,0.699118,0.410623,0.0685842,0.601047,2.1493
0.3325,0.1,0.689653,0.425835,0.0738315,0.589081,2.13543
0.3375,0.1,0.680361,0.440947,0.0792742,0.577354,2.1215
0.3425,0.1,0.671246,0.455947,0.0849116,0.565865,2.10752
0.3475,0.1,0.662308,0.470829,0.0907426,0.554614,2.09349
0.3525,0.1,0.653551,0.485582,0.0967663,0.5436,2.07941
0.3575,0.1,0.644976,0.500197,0.102981,0.53282,2.06527
0.3625,0.1,0.636584,0.514664,0.109386,0.522276,2.05109
0.3675,0.1,0.628379,0.528972,0.115979,0.511965,2.03685
0.3725,0.1,0.620363,0.54311,0.122759,0.501888,2.02256
0.3775,0.1,0.612537,0.557066,0.129722,0.492042,2.00821
0.3825,0.1,0.604906,0.570829,0.136868,0.482429,1.99382
0.3875,0.1,0.597469,0.584386,0.144194,0.473047,1.97938
0.3925,0.1,0.590232,0.597723,0.151696,0.463896,1.96489
0.3975,0.1,0.583195,0.610828,0.159372,0.454976,1.95036
0.4025,0.1,0.576362,0.623688,0.167217,0.446285,1.93578
0.4075,0.1,0.569735,0.636288,0.17523,0.437823,1.92117
0.4125,0.1,0.563316,0.648616,0.183404,0.429589,1.90652
0.4175,0.1,0.557107,0.660659,0.191736,0.421582,1.89184
0.4225,0.1,0.551107,0.672406,0.200221,0.413798,1.87712
0.4275,0.1,0.545319,0.683848,0.208854,0.406235,1.86237
0.4325,0.1,0.539739,0.694979,0.217629,0.398887,1.84759
0.4375,0.1,0.534364,0.705794,0.226539,0.391748,1.83278
0.4425,0.1,0.529188,0.716297,0.235579,0.384809,1.81792
0.4475,0.1,0.524201,0.726497,0.244742,0.378057,1.80301
0.4525,0.1,0.519389,0.736415,0.25402,0.371475,1.78803
0.4575,0.1,0.514731,0.74608,0.263406,0.365039,1.77296
0.4625,0.1,0.510198,0.755542,0.272893,0.358722,1.75776
0.4675,0.1,0.505751,0.764865,0.282474,0.352483,1.74237
0.4725,0.1,0.501343,0.774152,0.29214,0.346279,1.72675
0.4775,0.1,0.496894,0.783502,0.301885,0.340033,1.71079
0.4825,0.1,0.492352,0.793154,0.311703,0.333702,1.69443
0.4875,0.1,0.487507,0.803144,0.321588,0.327095,1.67739
0.4925,0.1,0.482462,0.814267,0.331534,0.320321,1.65982
0.4975,0.1,0.476334,0.825572,0.341546,0.312576,1.64053
0.5025,0.1,0.466137,0.841355,0.32667,0.305364,1.63774
0.5075,0.1,0.458285,0.853007,0.311948,0.300164,1.63743
0.5125,0.1,0.452008,0.861884,0.297359,0.296291,1.63875
0.5175,0.1,0.446861,0.86878,0.282884,0.293353,1.64119
0.5225,0.1,0.442573,0.874188,0.268508,0.291114,1.64444
0.5275,0.1,0.438965,0.878432,0.254216,0.289419,1.64831
0.5325,0.1,0.435912,0.881742,0.239995,0.288162,1.65264
0.5375,0.1,0.43332,0.884295,0.225833,0.287263,1.65734
0.5425,0.1,0.431112,0.886234,0.21172,0.286657,1.66231
0.5475,0.1,0.429226,0.887685,0.197647,0.286289,1.66747
0.5525,0.1,0.427607,0.888757,0.183607,0.286114,1.67276
0.5575,0.1,0.426207,0.889547,0.169591,0.286089,1.67811
0.5625,0.1,0.424986,0.890139,0.155597,0.28618,1.68347
0.5675,0.1,0.423911,0.890604,0.141617,0.286358,1.68879
0.5725,0.1,0.422955,0.891,0.12765,0.286599,1.69403
0.5775,0.1,0.422096,0.891375,0.113693,0.286883,1.69916
0.5825,0.1,0.421317,0.891763,0.0997427,0.287195,1.70415
0.5875,0.1,0.420605,0.892193,0.0857982,0.287525,1.709
0.5925,0.1,0.419951,0.892683,0.0718581,0.287865,1.71368
0.5975,0.1,0.419349,0.893247,0.0579213,0.288209,1.71819
0.6025,0.1,0.418792,0.893895,0.0439871,0.288553,1.72253
0.6075,0.1,0.418274,0.894631,0.0300551,0.288894,1.7267
0.6125,0.1,0.417791,0.895461,0.0161254,0.289232,1.73072
0.6175,0.1,0.41734,0.896396,0.00220035,0.289569,1.73461
0.6225,0.1,0.416884,0.897382,-0.0117113,0.289884,1.7384
0.6275,0.1,0.416428,0.89837,-0.0255984,0.290191,1.74214
0.6325,0.1,0.415962,0.899343,-0.0394499,0.290494,1.74592
0.6375,0.1,0.415465,0.900295,-0.0532549,0.290797,1.74983
0.6425,0.1,0.414906,0.901222,-0.0670037,0.2911,1.75401
0.6475,0.1,0.414245,0.902123,-0.0806876,0.291403,1.75864
0.6525,0.1,0.413428,0.902996,-0.0943,0.291706,1.76395
0.6575,0.1,0.412391,0.90384,-0.107837,0.292008,1.77022
0.6625,0.1,0.411054,0.904653,-0.121296,0.29231,1.7778
0.6675,0.1,0.409334,0.905436,-0.13468,0.29261,1.78711
0.6725,0.1,0.407135,0.906187,-0.147993,0.292909,1.7986
0.6775,0.1,0.404368,0.906905,-0.161241,0.293205,1.81274
0.6825,0.1,0.400945,0.907592,-0.174429,0.293499,1.83005
0.6875,0.1,0.396797,0.908245,-0.187558,0.293789,1.851
0.6925,0.1,0.391877,0.908866,-0.200622,0.294074,1.87606
0.6975,0.1,0.386171,0.909454,-0.213605,0.294353,1.90559
0.7025,0.1,0.379697,0.910009,-0.226472,0.294627,1.93988
0.7075,0.1,0.372517,0.910532,-0.239168,0.294893,1.97906
0.7125,0.1,0.364729,0.911022,-0.251613,0.295152,2.02309
0.7175,0.1,0.356466,0.91148,-0.263698,0.295402,2.07174
0.7225,0.1,0.347887,0.911906,-0.275287,0.295644,2.12456
0.7275,0.1,0.339172,0.912301,-0.286217,0.295876,2.18087
0.7325,0.1,0.330503,0.912666,-0.296307,0.296099,2.23975
0.7375,0.1,0.322059,0.913002,-0.305361,0.296312,2.30014
0.7425,0.1,0.314001,0.91331,-0.31319,0.296516,2.36079
0.7475,0.1,0.306465,0.913592,-0.319621,0.29671,2.42043
0.7525,0.1,0.299557,0.913851,-0.324511,0.296896,2.4778
0.7575,0.1,0.293347,0.914089,-0.327764,0.297074,2.53176
0.7625,0.1,0.287871,0.914309,-0.32934,0.297243,2.58139
0.7675,0.1,0.283134,0.914513,-0.329251,0.297406,2.62602
0.7725,0.1,0.279112,0.914706,-0.327566,0.297562,2.66526
0.7775,0.1,0.275759,0.914889,-0.3244,0.297712,2.69903
0.7825,0.1,0.273013,0.915066,-0.319897,0.297857,2.72749
0.7875,0.1,0.270805,0.915238,-0.314222,0.297997,2.75103
0.7925,0.1,0.26906,0.915408,-0.307547,0.298133,2.77014
0.7975,0.1,0.267703,0.915576,-0.300037,0.298265,2.78541
0.8025,0.1,0.266667,0.915746,-0.291845,0.298394,2.79744
0.8075,0.1,0.265888,0.915918,-0.283105,0.298521,2.80683
0.8125,0.1,0.265313,0.916092,-0.273931,0.298645,2.81409
0.8175,0.1,0.264895,0.916271,-0.264416,0.298768,2.81969
0.8225,0.1,0.264596,0.916456,-0.254634,0.298889,2.82402
0.8275,0.1,0.264387,0.916646,-0.244642,0.29901,2.82739
0.8325,0.1,0.264244,0.916842,-0.234485,0.29913,2.83005
0.8375,0.1,0.264149,0.917046,-0.224194,0.299249,2.8322
0.8425,0.1,0.264089,0.917258,-0.213794,0.299368,2.83396
0.8475,0.1,0.264055,0.91748,-0.2033,0.299488,2.83546
0.8525,0.1,0.26404,0.917712,-0.192726,0.299608,2.83677
0.8575,0.1,0.264038,0.917954,-0.182079,0.299729,2.83793
0.8625,0.1,0.264046,0.9182,-0.171366,0.299849,2.83898
0.8675,0.1,0.264059,0.91844,-0.160591,0.299964,2.83994
0.8725,0.1,0.264076,0.918681,-0.149758,0.300077,2.84082
0.8775,0.1,0.264107,0.918969,-0.138869,0.300203,2.84168
0.8825,0.1,0.26417,0.919392,-0.127926,0.300372,2.8426
0.8875,0.1,0.264269,0.919976,-0.116928,0.300592,2.84361
0.8925,0.1,0.264345,0.920436,-0.105876,0.300767,2.84446
0.8975,0.1,0.264235,0.919993,-0.0947756,0.30064,2.84444
0.9025,0.1,0.263796,0.917966,-0.0836438,0.299982,2.84294
0.9075,0.1,0.263332,0.915809,-0.0725006,0.299279,2.84127
0.9125,0.1,0.264111,0.919605,-0.0613327,0.30055,2.84493
0.9175,0.1,0.267907,0.937738,-0.0500347,0.306643,2.86147
0.9225,0.1,0.273892,0.965579,-0.0384215,0.316238,2.88653
0.9275,0.1,0.272544,0.959365,-0.026465,0.314094,2.88113
0.9325,0.1,0.245233,0.831792,-0.0148152,0.271535,2.76814
0.9375,0.1,0.191207,0.527181,-0.00547442,0.190209,2.48695
0.9425,0.1,0.147047,0.192416,-0.00101484,0.1275,2.16768
0.9475,0.1,0.129788,0.0409848,-0.000124102,0.105513,2.0324
0.9525,0.1,0.125829,0.00701149,-1.83475e-05,0.100932,2.00533
0.9575,0.1,0.125136,0.00114372,-2.97516e-06,0.100152,2.00086
0.9625,0.1,0.125022,0.00018507,-4.87799e-07,0.100025,2.00014
0.9675,0.1,0.125004,2.99032e-05,-8.00691e-08,0.100004,2.00002
0.9725,0.1,0.125001,4.83013e-06,-1.31397e-08,0.100001,2
0.9775,0.1,0.125,7.80088e-07,-2.15531e-09,0.1,2
0.9825,0.1,0.125,1.25974e-07,-3.53366e-10,0.1,2
0.9875,0.1,0.125,2.03393e-08,-5.79056e-11,0.1,2
0.9925,0.1,0.125,3.28536e-09,-9.51825e-12,0.1,2
0.9975,0.1,0.125,4.59598e-10,-1.53107e-12,0.1,2
0.0025,0.3,1,-3.3334e-136,4.91142e-158,1,2.5
0.0075,0.3,1,-3.06098e-67,1.10716e-88,1,2.5
0.0125,0.3,1,-6.16622e-33,7.22332e-54,1,2.5
0.0175,0.3,1,-5.61773e-16,2.96895e-36,1,2.5
0.0225,0.3,1,-4.03899e-16,3.88578e-19,1,2.5
