# 
x,y,rho,u,v,P,e_internal
0.005,0.166667,1,1.50413e-15,0,2.904,2.5
0.015,0.166667,1,5.0445e-14,0,2.904,2.5
0.025,0.166667,1,2.3631e-13,0,2.904,2.5
0.035,0.166667,1,1.27986e-12,0,2.904,2.5
0.045,0.166667,1,4.47084e-12,0,2.904,2.5
0.055,0.166667,1,2.14447e-11,0,2.904,2.5
0.065,0.166667,1,7.16129e-11,0,2.904,2.5
0.075,0.166667,1,3.21057e-10,0,2.904,2.5
0.085,0.166667,1,1.03305e-09,0,2.904,2.5
0.095,0.166667,1,4.32389e-09,0,2.904,2.5
0.105,0.166667,1,1.33609e-08,0,2.904,2.5
0.115,0.166667,1,5.20153e-08,0,2.904,2.5
0.125,0.166667,1,1.5376e-07,0,2.904,2.5
0.135,0.166667,1,5.54406e-07,0,2.904,2.5
0.145,0.166667,0.999999,1.56068e-06,0,2.904,2.5
0.155,0.166667,0.999998,5.18554e-06,0,2.90399,2.5
0.165,0.166667,0.999993,1.38249e-05,0,2.90397,2.49999
0.175,0.166667,0.999982,4.20717e-05,0,2.90392,2.49997
0.185,0.166667,0.999947,0.000105507,0,2.90376,2.49992
0.195,0.166667,0.999872,0.000291862,0,2.90341,2.49981
0.205,0.166667,0.999665,0.000682566,0,2.90245,2.49951
0.215,0.166667,0.999246,0.00170001,0,2.90051,2.49891
0.225,0.166667,0.998227,0.0036667,0,2.8958,2.49743
0.235,0.166667,0.996349,0.00812492,0,2.88711,2.4947
0.245,0.166667,0.992417,0.0159401,0,2.86895,2.48897
0.255,0.166667,0.985924,0.0310135,0,2.83905,2.4795
0.265,0.166667,0.974536,0.0545221,0,2.78687,2.46284
0.275,0.166667,0.958064,0.0922543,0,2.71201,2.4386
0.285,0.166667,0.934365,0.143815,0,2.60564,2.40346
0.295,0.166667,0.904725,0.212246,0,2.47487,2.35906
0.305,0.166667,0.869486,0.294229,0,2.32277,2.30561
0.315,0.166667,0.830842,0.386998,0,2.16031,2.24618
0.325,0.166667,0.790756,0.486985,0,1.9967,2.1836
0.335,0.166667,0.750589,0.590119,0,1.83786,2.11988
0.345,0.166667,0.711489,0.694395,0,1.68827,2.05684
0.355,0.166667,0.674075,0.798014,0,1.54984,1.99551
0.365,0.166667,0.638638,0.899633,0,1.42306,1.93644
0.375,0.166667,0.605526,0.998143,0,1.30847,1.88033
0.385,0.166667,0.575018,1.09229,0,1.20626,1.82779
0.395,0.166667,0.54745,1.18029,0,1.11671,1.77957
0.405,0.166667,0.52324,1.2601,0,1.04032,1.73661
0.415,0.166667,0.502883,1.32925,0,0.977728,1.70002
0.425,0.166667,0.48682,1.38513,0,0.92946,1.67091
0.435,0.166667,0.47532,1.42578,0,0.895606,1.6501
0.445,0.166667,0.468225,1.45093,0,0.875218,1.63765
0.455,0.166667,0.46475,1.46283,0,0.865754,1.63235
0.465,0.166667,0.46357,1.46604,0,0.863266,1.63184
0.475,0.166667,0.463296,1.46564,0,0.863685,1.63352
0.485,0.166667,0.463024,1.46492,0,0.864395,1.63571
0.495,0.166667,0.462462,1.46472,0,0.86467,1.63809
0.505,0.166667,0.461444,1.46471,0,0.864757,1.64169
0.515,0.166667,0.459061,1.46471,0,0.86489,1.65003
0.525,0.166667,0.453106,1.46474,0,0.865063,1.67099
0.535,0.166667,0.440627,1.46479,0,0.865211,1.71632
0.545,0.166667,0.419612,1.46479,0,0.865307,1.79847
0.555,0.166667,0.390625,1.46478,0,0.865372,1.92613
0.565,0.166667,0.357035,1.46482,0,0.865456,2.1
0.575,0.166667,0.323601,1.46493,0,0.865573,2.30901
0.585,0.166667,0.294511,1.46508,0,0.865707,2.52956
0.595,0.166667,0.272106,1.46537,0,0.865909,2.73187
0.605,0.166667,0.256696,1.46596,0,0.866281,2.89227
0.615,0.166667,0.247138,1.46652,0,0.866616,3.00217
0.625,0.166667,0.241667,1.46583,0,0.866219,3.06697
0.635,0.166667,0.238674,1.46322,0,0.864722,3.09922
0.645,0.166667,0.237209,1.46083,0,0.863375,3.11311
0.655,0.166667,0.236965,1.46323,0,0.864771,3.12107
0.665,0.166667,0.237723,1.47242,0,0.870064,3.12987
0.675,0.166667,0.238689,1.48237,0,0.875806,3.13763
0.685,0.166667,0.238477,1.47999,0,0.874394,3.13562
0.695,0.166667,0.236172,1.45637,0,0.860727,3.11743
0.705,0.166667,0.232888,1.4224,0,0.841545,3.09157
0.715,0.166667,0.232107,1.41418,0,0.837106,3.08525
0.725,0.166667,0.23756,1.47076,0,0.868984,3.1273
0.735,0.166667,0.249141,1.58657,0,0.937335,3.21388
0.745,0.166667,0.258131,1.67124,0,0.990718,3.27816
