======================================================================
Profile u(y) at x=0.5:
       y     u_calc     u_ghia    error %
  0.0000    -0.0011     0.0000       inf
  0.1720    -0.1025    -0.1020      0.54
  0.2810    -0.1445    -0.1570      7.96
  0.4530    -0.1757    -0.2110     16.72
  0.5000    -0.1701    -0.2060     17.41
  0.6170    -0.1153    -0.1360     15.25
  0.7340     0.0004     0.0030     86.02
  0.8520     0.2083     0.2320     10.21
  0.9530     0.6139     0.6870     10.65
  0.9690     0.7097     0.7890     10.05
  0.9770     0.7617     0.8410      9.43
  1.0000     0.9113     1.0000      8.87

Profile v(x) at y=0.5:
       x     v_calc     v_ghia    error %
  0.0000     0.0030     0.0000       inf
  0.1720     0.1313     0.1620     18.94
  0.2810     0.1320     0.1750     24.59
  0.4530     0.0634     0.1720     63.16
  0.5000     0.0311     0.1800     82.71
  0.6170    -0.0705     0.0580    221.61
  0.7340    -0.1767    -0.1520     16.27
  0.8520    -0.2040    -0.2320     12.06
  0.9530    -0.0863    -0.3730     76.85
  0.9610    -0.0724    -0.3320     78.18
  0.9690    -0.0578    -0.2170     73.35
  1.0000    -0.0001     0.0000       inf
