# 
x,y,rho,u,v,P,e_internal
0.005,0.005,2.342,-1.66451,0,1.03661,1.10654
0.015,0.005,1.11531,-1.79065,0,0.477115,1.06947
0.025,0.005,1.02064,-1.94138,0,0.412823,1.01119
0.035,0.005,0.963279,-1.95518,0,0.380107,0.986493
0.045,0.005,0.943005,-1.95347,0,0.369156,0.978669
0.055,0.005,0.925419,-1.94323,0,0.35986,0.972154
0.065,0.005,0.907191,-1.93003,0,0.350379,0.965561
0.075,0.005,0.886739,-1.91442,0,0.339883,0.958239
0.085,0.005,0.863851,-1.89658,0,0.328299,0.950104
0.095,0.005,0.838526,-1.87649,0,0.315673,0.941153
0.105,0.005,0.810883,-1.85413,0,0.302108,0.931417
0.115,0.005,0.781097,-1.82951,0,0.287739,0.920945
0.125,0.005,0.749395,-1.80264,0,0.272718,0.909795
0.135,0.005,0.716039,-1.77353,0,0.257209,0.898029
0.145,0.005,0.681315,-1.74224,0,0.24138,0.885713
0.155,0.005,0.645529,-1.7088,0,0.225395,0.87291
0.165,0.005,0.608994,-1.67328,0,0.209417,0.859682
0.175,0.005,0.572023,-1.63571,0,0.193593,0.846088
0.185,0.005,0.534924,-1.59616,0,0.178061,0.832177
0.195,0.005,0.497991,-1.55468,0,0.162942,0.817995
0.205,0.005,0.461503,-1.51132,0,0.148341,0.803578
0.215,0.005,0.425715,-1.46613,0,0.134348,0.788957
0.225,0.005,0.39086,-1.41914,0,0.121034,0.774152
0.235,0.005,0.357145,-1.37041,0,0.108454,0.759177
0.245,0.005,0.324748,-1.31996,0,0.0966497,0.744038
0.255,0.005,0.293819,-1.26783,0,0.0856463,0.728733
0.265,0.005,0.264482,-1.21405,0,0.0754572,0.713255
0.275,0.005,0.236829,-1.15864,0,0.0660836,0.697588
0.285,0.005,0.210928,-1.10163,0,0.0575167,0.68171
0.295,0.005,0.18682,-1.04303,0,0.0497386,0.665594
0.305,0.005,0.164523,-0.982859,0,0.0427238,0.649207
0.315,0.005,0.14403,-0.921132,0,0.0364402,0.632509
0.325,0.005,0.125317,-0.857855,0,0.0308509,0.615455
