# 
x,y,rho,u,v,P,e_internal
0.0025,0.25,1,6.10969e-08,1.02873e-17,1,2.5
0.0075,0.25,1,9.23953e-08,2.18825e-17,1,2.5
0.0125,0.25,1,-3.73227e-08,1.97131e-17,1,2.5
0.0175,0.25,1,-2.12443e-07,2.3459e-17,1,2.5
0.0225,0.25,1,-1.65402e-07,1.21991e-17,1,2.5
0.0275,0.25,1,2.08598e-07,1.32627e-17,1,2.5
0.0325,0.25,1,5.38968e-07,5.4734e-18,0.999999,2.5
0.0375,0.25,1,2.36552e-07,7.47624e-18,1,2.5
0.0425,0.25,1,-6.9514e-07,1.62403e-17,1,2.5
0.0475,0.25,1,-1.23094e-06,1.04761e-17,1,2.5
0.0525,0.25,1,-2.29326e-07,5.84863e-18,1,2.5
0.0575,0.25,0.999998,1.86659e-06,-1.15263e-17,0.999998,2.49999
0.0625,0.25,0.999998,2.64531e-06,-1.76437e-17,0.999997,2.49999
0.0675,0.25,1,5.51056e-08,-1.04405e-17,1,2.5
0.0725,0.25,1,-4.37659e-06,-1.91845e-18,1.00001,2.50001
0.0775,0.25,1,-5.56351e-06,-8.85963e-19,1.00001,2.50002
0.0825,0.25,1,1.37638e-07,5.19568e-18,1,2.5
0.0875,0.25,0.999992,9.19918e-06,-1.05015e-18,0.999989,2.49997
0.0925,0.25,0.99999,1.17449e-05,-6.56363e-18,0.999986,2.49997
0.0975,0.25,0.999999,9.28569e-07,-6.16184e-18,0.999999,2.5
0.1025,0.25,1.00001,-1.71336e-05,-7.38735e-18,1.00002,2.50005
0.1075,0.25,1.00002,-2.47368e-05,-9.41462e-18,1.00003,2.50007
0.1125,0.25,1.00001,-7.98882e-06,-3.9395e-18,1.00001,2.50002
0.1175,0.25,0.999978,2.61986e-05,-3.65628e-18,0.999969,2.49992
0.1225,0.25,0.999958,4.95442e-05,8.06773e-18,0.999941,2.49985
0.1275,0.25,0.999972,3.35187e-05,-4.3697e-18,0.99996,2.4999
0.1325,0.25,1.00002,-2.29217e-05,6.42671e-18,1.00003,2.50007
0.1375,0.25,1.00007,-8.39985e-05,-1.61794e-17,1.0001,2.50025
