Comparison with Ghia (1982) Re=100
======================================================================
Profile u(y) at x=0.5:
       y     u_calc     u_ghia    error %
  1.0000     1.9965     1.0000     99.65
  0.9770     1.6135     0.8410     91.86
  0.9690     1.4803     0.7890     87.62
  0.9530     1.2435     0.6870     81.01
  0.8520     0.4293     0.2320     85.04
  0.7340     0.1372     0.0030   4472.61
  0.6170    -0.0894    -0.1360     34.23
  0.5000    -0.2862    -0.2060     38.92
  0.4530    -0.3375    -0.2110     59.94
  0.2810    -0.3566    -0.1570    127.15
  0.1720    -0.2696    -0.1020    164.27
  0.0000    -0.0036     0.0000       inf

Profile v(x) at y=0.5:
       x     v_calc     v_ghia    error %
  1.0000     0.0045     0.0000       inf
  0.9690    -0.1615    -0.2170     25.58
  0.9610    -0.2036    -0.3320     38.67
  0.9530    -0.2441    -0.3730     34.57
  0.8520    -0.5395    -0.2320    132.52
  0.7340    -0.3935    -0.1520    158.86
  0.6170    -0.1190     0.0580    305.16
  0.5000     0.1068     0.1800     40.64
  0.4530     0.1741     0.1720      1.25
  0.2810     0.3065     0.1750     75.12
  0.1720     0.3029     0.1620     86.98
  0.0000     0.0097     0.0000       inf
