# 
x,y,rho,u,v,P,e_internal
0.0121951,0.0121951,1,-0.0556811,-0.0562002,1,2.5
0.0365854,0.0121951,1,-0.224653,-0.0524079,1.35663,2.5
0.0609756,0.0121951,1,-0.127805,-0.0327664,1.43881,2.5
0.0853659,0.0121951,1,-0.0751357,-0.0183957,1.47101,2.5
0.109756,0.0121951,1,-0.0465547,-0.00995686,1.48367,2.5
0.134146,0.0121951,1,-0.0310735,-0.00528227,1.48843,2.5
0.158537,0.0121951,1,-0.0227972,-0.00270559,1.48999,2.5
0.182927,0.0121951,1,-0.0185654,-0.00125838,1.49032,2.5
0.207317,0.0121951,1,-0.0166689,-0.000421047,1.49026,2.5
0.231707,0.0121951,1,-0.0161647,7.9469e-05,1.49017,2.5
0.256098,0.0121951,1,-0.0165177,0.000386139,1.49021,2.5
0.280488,0.0121951,1,-0.0174092,0.000573782,1.49047,2.5
0.304878,0.0121951,1,-0.018635,0.000683396,1.49099,2.5
0.329268,0.0121951,1,-0.0200573,0.000737815,1.49182,2.5
0.353659,0.0121951,1,-0.0215757,0.000749592,1.49296,2.5
0.378049,0.0121951,1,-0.0231111,0.000725375,1.49445,2.5
0.402439,0.0121951,1,-0.0245947,0.000668505,1.49629,2.5
0.426829,0.0121951,1,-0.0259629,0.000580624,1.49848,2.5
0.45122,0.0121951,1,-0.0271543,0.000462733,1.50101,2.5
0.47561,0.0121951,1,-0.0281087,0.000315965,1.50386,2.5
0.5,0.0121951,1,-0.0287677,0.000142262,1.50699,2.5
0.52439,0.0121951,1,-0.0290756,-5.48407e-05,1.51032,2.5
0.54878,0.0121951,1,-0.0289836,-0.000269541,1.51377,2.5
0.573171,0.0121951,1,-0.0284567,-0.000495806,1.51722,2.5
0.597561,0.0121951,1,-0.0274703,-0.000725044,1.52058,2.5
0.621951,0.0121951,1,-0.0260173,-0.000946374,1.52372,2.5
0.646341,0.0121951,1,-0.0241128,-0.0011473,1.52653,2.5
0.670732,0.0121951,1,-0.0217974,-0.00131461,1.52889,2.5
0.695122,0.0121951,1,-0.0191386,-0.00143548,1.53071,2.5
0.719512,0.0121951,1,-0.0162303,-0.00149883,1.53193,2.5
0.743902,0.0121951,1,-0.0131893,-0.00149669,1.5325,2.5
0.768293,0.0121951,1,-0.010149,-0.00142554,1.53244,2.5
0.792683,0.0121951,1,-0.00725082,-0.0012873,1.53181,2.5
0.817073,0.0121951,1,-0.00463327,-0.00108975,1.53071,2.5
0.841463,0.0121951,1,-0.00241975,-0.000846524,1.52926,2.5
0.865854,0.0121951,1,-0.000706943,-0.000576553,1.52763,2.5
0.890244,0.0121951,1,0.000445751,-0.000303825,1.526,2.5
0.914634,0.0121951,1,0.00102551,-5.81701e-05,1.52455,2.5
0.939024,0.0121951,1,0.0010775,0.000123175,1.52346,2.5
0.963415,0.0121951,1,0.000720577,0.000193997,1.52287,2.5
0.987805,0.0121951,1,0.000177517,0.000109802,1.52284,2.5
0.0121951,0.0365854,1,-0.0516674,-0.22623,1.35724,2.5
0.0365854,0.0365854,1,-0.147085,-0.149255,1.39937,2.5
0.0609756,0.0365854,1,-0.146502,-0.0854362,1.44017,2.5
0.0853659,0.0365854,1,-0.119799,-0.0469767,1.46471,2.5
0.109756,0.0365854,1,-0.0930365,-0.025438,1.47774,2.5
0.134146,0.0365854,1,-0.0729624,-0.0135586,1.4843,2.5
0.158537,0.0365854,1,-0.0598341,-0.00693737,1.4875,2.5
0.182927,0.0365854,1,-0.0522293,-0.00315484,1.48904,2.5
0.207317,0.0365854,1,-0.0486256,-0.000925287,1.48981,2.5
0.231707,0.0365854,1,-0.0478083,0.000432473,1.49029,2.5
0.256098,0.0365854,1,-0.0489008,0.00127767,1.4907,2.5
0.280488,0.0365854,1,-0.0512595,0.0017996,1.49119,2.5
0.304878,0.0365854,1,-0.0544253,0.0021056,1.49184,2.5
0.329268,0.0365854,1,-0.0580614,0.0022563,1.49272,2.5
0.353659,0.0365854,1,-0.0619087,0.00228497,1.49386,2.5
0.378049,0.0365854,1,-0.0657551,0.00220897,1.4953,2.5
0.402439,0.0365854,1,-0.0694171,0.00203669,1.49703,2.5
0.426829,0.0365854,1,-0.0727281,0.00177202,1.49909,2.5
0.45122,0.0365854,1,-0.0755329,0.00141719,1.50145,2.5
0.47561,0.0365854,1,-0.0776858,0.000974907,1.50409,2.5
0.5,0.0365854,1,-0.079052,0.000450226,1.50699,2.5
0.52439,0.0365854,1,-0.0795113,-0.000146908,1.51008,2.5
0.54878,0.0365854,1,-0.0789659,-0.000796429,1.51326,2.5
0.573171,0.0365854,1,-0.0773355,-0.00148217,1.51645,2.5
0.597561,0.0365854,1,-0.0745757,-0.00217805,1.51954,2.5
0.621951,0.0365854,1,-0.0706855,-0.0028509,1.52244,2.5
0.646341,0.0365854,1,-0.0657148,-0.00346274,1.52503,2.5
0.670732,0.0365854,1,-0.0597688,-0.00397338,1.52721,2.5
0.695122,0.0365854,1,-0.0530108,-0.00434376,1.5289,2.5
0.719512,0.0365854,1,-0.0456598,-0.00453987,1.53004,2.5
0.743902,0.0365854,1,-0.0379833,-0.00453699,1.53062,2.5
0.768293,0.0365854,1,-0.0302856,-0.00432368,1.53063,2.5
0.792683,0.0365854,1,-0.0228892,-0.00390485,1.53014,2.5
0.817073,0.0365854,1,-0.0161124,-0.00330328,1.52924,2.5
0.841463,0.0365854,1,-0.010243,-0.00255933,1.52804,2.5
0.865854,0.0365854,1,-0.0055104,-0.00172925,1.52668,2.5
0.890244,0.0365854,1,-0.00205985,-0.000883582,1.52533,2.5
0.914634,0.0365854,1,7.2351e-05,-0.000110166,1.52412,2.5
0.939024,0.0365854,1,0.000979201,0.000480101,1.5232,2.5
0.963415,0.0365854,1,0.000906249,0.000737058,1.52268,2.5
0.987805,0.0365854,1,0.000275276,0.000464835,1.52265,2.5
0.0121951,0.0609756,1,-0.0324432,-0.130813,1.44214,2.5
0.0365854,0.0609756,1,-0.0844185,-0.149838,1.4426,2.5
0.0609756,0.0609756,1,-0.111636,-0.112139,1.45665,2.5
0.0853659,0.0609756,1,-0.113126,-0.0737394,1.46962,2.5
0.109756,0.0609756,1,-0.103578,-0.0455122,1.47848,2.5
0.134146,0.0609756,1,-0.0923274,-0.0266869,1.48387,2.5
0.158537,0.0609756,1,-0.0833995,-0.0145422,1.48699,2.5
0.182927,0.0609756,1,-0.077913,-0.00675853,1.48877,2.5
0.207317,0.0609756,1,-0.0757185,-0.00174256,1.48985,2.5
0.231707,0.0609756,1,-0.0762378,0.00152494,1.49056,2.5
0.256098,0.0609756,1,-0.0788135,0.0036364,1.49115,2.5
0.280488,0.0609756,1,-0.0828437,0.00496538,1.49175,2.5
0.304878,0.0609756,1,-0.0878283,0.00574174,1.49246,2.5
0.329268,0.0609756,1,-0.0933574,0.00610354,1.49334,2.5
0.353659,0.0609756,1,-0.0990891,0.0061314,1.49444,2.5
0.378049,0.0609756,1,-0.104729,0.00587097,1.49579,2.5
0.402439,0.0609756,1,-0.110018,0.00534769,1.49742,2.5
0.426829,0.0609756,1,-0.114717,0.00457679,1.49933,2.5
0.45122,0.0609756,1,-0.11861,0.00357008,1.50153,2.5
0.47561,0.0609756,1,-0.121495,0.00234108,1.504,2.5
0.5,0.0609756,1,-0.123193,0.000909584,1.50671,2.5
0.52439,0.0609756,1,-0.123548,-0.000692284,1.50961,2.5
0.54878,0.0609756,1,-0.122432,-0.00242687,1.51261,2.5
0.573171,0.0609756,1,-0.119748,-0.004242,1.51561,2.5
0.597561,0.0609756,1,-0.115451,-0.00606818,1.51854,2.5
0.621951,0.0609756,1,-0.109554,-0.00782167,1.52129,2.5
0.646341,0.0609756,1,-0.102136,-0.00940871,1.52375,2.5
0.670732,0.0609756,1,-0.0933477,-0.0107314,1.52583,2.5
0.695122,0.0609756,1,-0.0834129,-0.0116948,1.52746,2.5
0.719512,0.0609756,1,-0.0726278,-0.0122163,1.52857,2.5
0.743902,0.0609756,1,-0.0613516,-0.0122347,1.52915,2.5
0.768293,0.0609756,1,-0.0499931,-0.0117201,1.52921,2.5
0.792683,0.0609756,1,-0.0389891,-0.0106816,1.5288,2.5
0.817073,0.0609756,1,-0.0287761,-0.00917277,1.528,2.5
0.841463,0.0609756,1,-0.0197568,-0.00729188,1.52693,2.5
0.865854,0.0609756,1,-0.0122616,-0.0051798,1.52572,2.5
0.890244,0.0609756,1,-0.0065112,-0.00301578,1.52451,2.5
0.914634,0.0609756,1,-0.00258202,-0.00101702,1.52341,2.5
0.939024,0.0609756,1,-0.000378615,0.000553053,1.52255,2.5
0.963415,0.0609756,1,0.000385407,0.00136803,1.52202,2.5
0.987805,0.0609756,1,0.00020305,0.00101539,1.5219,2.5
0.0121951,0.0853659,1,-0.0187228,-0.0788372,1.47845,2.5
