AR,Skewness
2.08411,0.279436
1.8975,0.090173
1.90143,0.111128
2.02452,0.282094
2.04027,0.173915
1.89414,0.175384
2.0853,0.210013
1.91576,0.1906
1.9854,0.165282
2.12186,0.238225
1.99575,0.21622
1.89303,0.138311
1.84185,0.111927
1.92771,0.159051
2.14472,0.180626
1.92401,0.127045
2.10549,0.218248
2.24743,0.271345
2.00457,0.16862
1.84259,0.0991808
2.05496,0.23259
2.06452,0.308503
1.97227,0.134891
1.85669,0.107678
1.81327,0.0622034
2.11428,0.175432
1.83115,0.128049
2.03907,0.143796
2.00668,0.218146
2.03995,0.184391
2.00666,0.15941
1.93573,0.194953
2.25467,0.211605
2.3419,0.315815
1.92978,0.208585
2.12593,0.258506
2.11769,0.297945
2.03514,0.239835
2.09466,0.161975
1.83365,0.0946606
2.10522,0.201342
1.88338,0.0839104
2.02033,0.172788
2.16416,0.25719
1.91823,0.126366
1.96972,0.219701
2.09967,0.22337
2.3462,0.283395
2.5617,0.368209
1.99639,0.229763
1.94501,0.198398
1.79371,0.0569583
1.79144,0.0568464
2.01729,0.160395
1.88863,0.0763741
1.99399,0.237482
1.91457,0.159626
1.89832,0.165588
1.93628,0.21222
1.9584,0.236391
2.02309,0.294657
2.03172,0.138115
2.17215,0.332767
2.01594,0.216049
2.40646,0.255133
1.98401,0.20658
2.3898,0.417416
2.00068,0.211402
2.09657,0.232213
2.25757,0.219502
2.30866,0.37991
1.93753,0.228795
1.8857,0.162978
2.30792,0.302161
2.39725,0.254173
2.10287,0.298147
2.24814,0.279402
2.0392,0.200555
1.8939,0.111764
1.98998,0.258364
2.02863,0.25489
1.99094,0.183898
2.10093,0.24776
2.29157,0.296908
1.88144,0.11984
2.0803,0.274937
1.84369,0.140054
2.06122,0.15622
1.88185,0.0794956
2.33449,0.398028
2.25332,0.262664
1.88073,0.116911
2.21759,0.238204
1.96683,0.235311
2.20528,0.222787
1.805,0.101525
2.29506,0.374946
2.02329,0.171127
2.16581,0.277338
2.29089,0.34078
1.84766,0.0667902
2.07661,0.311163
1.94257,0.1994
1.9671,0.181413
1.82314,0.060808
1.89892,0.166672
1.84514,0.0667867
2.04061,0.305323
1.79804,0.0341009
1.85108,0.101547
2.07926,0.307617
2.31788,0.298773
1.79989,0.0873027
1.74373,0.00721347
2.20488,0.22943
1.88058,0.13267
2.07029,0.159243
2.70797,0.473815
1.84095,0.0870251
2.25495,0.318506
2.26796,0.34992
1.93483,0.101313
2.12267,0.224409
2.12658,0.290924
1.89615,0.137606
1.8752,0.116974
1.90824,0.144918
2.01463,0.137139
1.83588,0.0843054
1.79946,0.0533235
1.78795,0.0628319
1.90726,0.0987791
2.30066,0.267996
2.1683,0.276534
2.37328,0.369523
1.97818,0.26361
2.14744,0.226311
2.26429,0.316033
1.99541,0.126537
2.10961,0.303394
2.53761,0.301414
2.39897,0.362902
1.8479,0.0840082
2.20312,0.352829
2.31163,0.236951
2.51741,0.302462
2.03603,0.268659
2.18143,0.285954
2.06093,0.176054
2.52672,0.35313
2.06748,0.191504
2.19017,0.207777
1.78355,0.0349186
2.44122,0.308129
2.06801,0.158234
1.8251,0.072462
1.9298,0.0936694
2.70526,0.40823
2.51393,0.34128
2.04074,0.191915
1.96295,0.220913
2.02468,0.156349
1.92534,0.169214
2.03872,0.27611
2.36286,0.391109
2.14432,0.283796
2.16699,0.198901
1.87471,0.126599
2.1046,0.296116
2.06611,0.147443
2.33609,0.321963
1.9064,0.180514
2.10479,0.191484
1.94363,0.199031
1.98969,0.254824
2.02582,0.22073
1.83278,0.114576
