# x y x_over_c Cp side
0.0711217 0.0393716 0.0711217 -0.483339 U
0.00384739 0.00974394 0.00384739 0.827442 U
0.957161 -0.0137753 0.957161 0.15264 L
0.891913 -0.00396594 0.891913 0.0455478 L
0.0421028 0.0318488 0.0421028 -0.285578 U
0.065262 0.0380901 0.065262 -0.433032 U
0.0799454 0.0411307 0.0799454 -0.545579 U
0.974939 -0.0165668 0.974939 0.200692 L
0.044964 0.0327476 0.044964 -0.323331 U
0.591345 0.0335208 0.591345 -1.04122 U
0.00159645 0.00420195 0.00159645 1.07079 U
0.99271 -0.0193857 0.99271 0.191003 L
0.0308097 0.0278086 0.0308097 -0.167213 U
0.0888025 0.0427139 0.0888025 -0.565374 U
0.998405 -0.0211786 0.998405 0.307031 L
0.0252909 0.0254609 0.0252909 -0.0713809 U
0.112538 0.0462093 0.112538 -0.596854 U
0.971976 -0.0161003 0.971976 0.191428 L
0.12147 0.0472941 0.12147 -0.627881 U
0.954198 -0.0133148 0.954198 0.146437 L
0.100653 0.0445809 0.100653 -0.606407 U
0.862225 0.000297375 0.862225 0.0102129 U
0.106592 0.0454225 0.106592 -0.63048 U
0.0536137 0.0352231 0.0536137 -0.384892 U
0.588361 0.0338254 0.588361 -1.04138 U
0.888945 -0.0035342 0.888945 0.0417581 L
0.0172793 0.021376 0.0172793 0.099259 U
0.0594243 0.0367112 0.0594243 -0.421399 U
0.883008 -0.00267386 0.883008 0.0341653 L
0.379103 0.0505177 0.379103 -0.970231 U
0.966051 -0.015167 0.966051 0.174297 L
0.948269 -0.0123999 0.948269 0.133792 L
0.349145 0.0519245 0.349145 -0.941126 U
0.340154 0.052278 0.340154 -0.933903 U
0.939375 -0.0110401 0.939375 0.117188 L
0.0122222 0.0181571 0.0122222 0.257272 U
0.927515 -0.00923824 0.927515 0.0949538 L
0.0740588 0.0399788 0.0740588 -0.524782 U
0.915651 -0.00745645 0.915651 0.0766306 L
0.471874 0.0443999 0.471874 -1.02442 U
0.579409 0.0347283 0.579409 -1.04042 U
0.486822 0.043201 0.486822 -1.02835 U
0.88004 -0.0022454 0.88004 0.0302743 L
0.995544 -0.0233379 0.995544 0.14696 L
0.0828944 0.041677 0.0828944 -0.568454 U
0.274193 0.0538782 0.274193 -0.889305 U
0.280192 0.0538175 0.280192 -0.8903 U
0.856285 0.00113294 0.856285 0.00428269 U
0.0809976 -0.0452532 0.0809976 -0.264497 L
0.0722445 -0.0431711 0.0722445 -0.223823 L
0.0392548 0.030909 0.0392548 -0.263523 U
0.166867 -0.0587793 0.166867 -0.490194 L
0.151321 0.0501801 0.151321 -0.756694 U
0.271194 0.0539013 0.271194 -0.888176 U
0.139369 0.049152 0.139369 -0.726901 U
0.18724 0.052419 0.18724 -0.802313 U
0.01889 -0.0236714 0.01889 0.349246 L
0.181249 0.0521242 0.181249 -0.790285 U
0.17526 0.0517999 0.17526 -0.778836 U
0.268585 -0.0656793 0.268585 -0.617702 L
0.346547 -0.0671046 0.346547 -0.652095 L
0.355545 -0.0671112 0.355545 -0.655805 L
0.394077 0.0496967 0.394077 -0.981841 U
0.400065 0.0493493 0.400065 -0.985795 U
0.628234 -0.05687 0.628234 -0.23025 L
0.439511 -0.0658738 0.439511 -0.408044 L
0.397532 -0.0667529 0.397532 -0.390785 L
0.535412 -0.0621817 0.535412 -0.317881 L
0.388088 0.0500335 0.388088 -0.976945 U
0.364126 0.0512635 0.364126 -0.956039 U
0.370117 0.0509748 0.370117 -0.961805 U
0.301563 -0.0666073 0.301563 -0.653038 L
0.358134 0.0515387 0.358134 -0.949334 U
0.376108 0.0506731 0.376108 -0.967225 U
0.45094 0.0459924 0.45094 -1.01403 U
0.459913 0.0453232 0.459913 -1.01967 U
0.789715 -0.0445143 0.789715 -0.0829903 L
0.43299 0.0472639 0.43299 -1.00324 U
0.792703 -0.0442535 0.792703 -0.0805617 L
0.468884 0.0446339 0.468884 -1.02372 U
0.16985 -0.0590912 0.16985 -0.489431 L
0.496462 -0.0639263 0.496462 -0.353397 L
0.477854 0.043926 0.477854 -1.02601 U
0.918087 -0.0321774 0.918087 0.0637447 L
0.220211 0.0535498 0.220211 -0.84526 U
0.424012 0.0478626 0.424012 -0.99695 U
0.337157 0.0523895 0.337157 -0.931766 U
0.483833 0.0434444 0.483833 -1.02809 U
0.346148 0.0520457 0.346148 -0.936952 U
0.475483 -0.0647278 0.475483 -0.372846 L
0.0751574 -0.0438849 0.0751574 -0.231073 L
0.409046 0.0488093 0.409046 -0.989964 U
0.0839242 -0.045909 0.0839242 -0.270434 L
0.12445 0.0476317 0.12445 -0.653609 U
0.823605 0.0056503 0.823605 -0.0263594 U
0.157302 0.0506366 0.157302 -0.765741 U
0.145343 0.049686 0.145343 -0.740237 U
0.897848 -0.00483217 0.897848 0.0535202 L
0.214215 0.0534035 0.214215 -0.835942 U
0.143038 -0.0559785 0.143038 -0.430369 L
0.205221 0.0531355 0.205221 -0.828112 U
0.421521 -0.0663122 0.421521 -0.409259 L
0.507743 0.0414481 0.507743 -1.031 U
0.307179 0.0533174 0.307179 -0.90935 U
0.00692303 -0.0147136 0.00692303 0.813693 L
0.516707 0.0406657 0.516707 -1.0321 U
0.271582 -0.065787 0.271582 -0.616823 L
0.33755 -0.0670656 0.33755 -0.654775 L
0.331162 0.0526028 0.331162 -0.926649 U
0.349547 -0.0671105 0.349547 -0.652354 L
0.631227 -0.0566744 0.631227 -0.227968 L
0.232634 -0.0640191 0.232634 -0.605613 L
0.400531 -0.0667061 0.400531 -0.39171 L
0.495789 0.0424602 0.495789 -1.02795 U
0.865195 -0.000122797 0.865195 0.0133044 L
0.444958 0.0464266 0.444958 -1.01028 U
0.295186 0.053583 0.295186 -0.899847 U
0.304561 -0.0666656 0.304561 -0.657275 L
0.358544 -0.0671062 0.358544 -0.654344 L
0.698654 0.0215946 0.698654 -0.100796 U
0.442509 -0.0657912 0.442509 -0.406081 L
0.799826 0.00884871 0.799826 -0.0462501 U
0.247201 0.0539202 0.247201 -0.869475 U
0.418026 0.048248 0.418026 -0.995006 U
0.841433 0.00320054 0.841433 -0.00871496 U
0.193233 0.0526852 0.193233 -0.814565 U
0.47848 -0.0646186 0.47848 -0.369413 L
0.289188 0.0536904 0.289188 -0.893048 U
0.385536 -0.0669141 0.385536 -0.603931 L
0.4545 -0.0654359 0.4545 -0.395501 L
0.740334 0.0165148 0.740334 -0.0844801 U
0.41204 0.0486245 0.41204 -0.991705 U
0.499459 -0.063805 0.499459 -0.351361 L
0.528655 0.039593 0.528655 -1.03387 U
0.220659 -0.063299 0.220659 -0.573191 L
0.498778 0.0422101 0.498778 -1.02833 U
0.795691 -0.0439916 0.795691 -0.0782371 L
0.92107 -0.0318625 0.92107 0.0684024 L
0.526425 -0.062615 0.526425 -0.327796 L
0.649182 -0.0554766 0.649182 -0.210882 L
0.534629 0.039045 0.534629 -1.03539 U
0.538408 -0.0620337 0.538408 -0.314402 L
0.187763 -0.0608036 0.187763 -0.548433 L
0.136383 0.0488695 0.136383 -0.721628 U
0.553384 -0.0612685 0.553384 -0.298949 L
0.703028 -0.0515964 0.703028 -0.161935 L
0.543587 0.0382093 0.543587 -1.03742 U
0.963088 -0.0147016 0.963088 0.167147 L
0.962812 -0.0273216 0.962812 0.146724 L
0.229207 0.0537237 0.229207 -0.853118 U
0.592314 -0.0591069 0.592314 -0.266477 L
0.576424 0.0350257 0.576424 -1.03959 U
0.945305 -0.0119456 0.945305 0.128335 L
0.178803 -0.0599806 0.178803 -0.541751 L
0.583331 -0.0596296 0.583331 -0.273915 L
0.549559 0.0376438 0.549559 -1.03809 U
0.199226 0.0529238 0.199226 -0.822165 U
0.122254 -0.0530148 0.122254 -0.389632 L
0.882284 -0.035845 0.882284 0.0156588 L
0.325167 0.0528028 0.325167 -0.922118 U
0.172265 0.0516263 0.172265 -0.774476 U
0.558515 0.0367837 0.558515 -1.0398 U
0.166278 0.0512553 0.166278 -0.772219 U
0.93641 -0.0105883 0.93641 0.11144 L
0.780751 -0.0452915 0.780751 -0.0916427 L
0.56747 0.0359106 0.56747 -1.03921 U
0.688074 -0.0527186 0.688074 -0.177022 L
0.679101 -0.0533769 0.679101 -0.186569 L
0.104509 -0.0500287 0.104509 -0.35699 L
0.57344 0.0353219 0.57344 -1.03918 U
0.924549 -0.00879059 0.924549 0.0902346 L
0.0635384 -0.0409005 0.0635384 -0.17339 L
0.091761 0.0432056 0.091761 -0.584496 U
0.671845 0.0247408 0.671845 -0.10737 U
0.157923 -0.0577949 0.157923 -0.465518 L
0.912684 -0.007015 0.912684 0.072557 L
0.0323136 -0.0303312 0.0323136 0.102438 L
0.722474 0.0187176 0.722474 -0.0915007 U
0.585377 0.0341283 0.585377 -1.04016 U
0.662906 0.0257641 0.662906 -0.108153 U
0.313176 0.0531607 0.313176 -0.914027 U
0.877071 -0.00181817 0.877071 0.026661 L
0.680782 0.0237041 0.680782 -0.105801 U
0.600294 0.0325962 0.600294 -1.03557 U
0.418523 -0.0663753 0.418523 -0.406575 L
0.903783 -0.00570146 0.903783 0.0608589 L
0.60626 0.0319715 0.60626 -0.114398 U
0.615208 0.0310226 0.615208 -0.103304 U
0.986661 -0.0246874 0.986661 0.189234 L
0.871133 -0.000967656 0.871133 0.0197923 L
0.781984 0.0111925 0.781984 -0.0582747 U
0.624154 0.0300607 0.624154 -0.103757 U
0.301183 0.0534584 0.301183 -0.906625 U
0.853315 0.00154835 0.853315 0.00149123 U
0.633098 0.0290867 0.633098 -0.105329 U
0.980867 -0.0174777 0.980867 0.216565 L
0.847374 0.00237609 0.847374 -0.00337024 U
0.22321 0.0536137 0.22321 -0.846012 U
0.773061 0.0123516 0.773061 -0.0645803 U
0.642042 0.0281017 0.642042 -0.106012 U
0.986798 -0.0183737 0.986798 0.211565 L
0.838462 0.0036114 0.838462 -0.0123083 U
0.645023 0.0277711 0.645023 -0.106422 U
0.829548 0.00483801 0.829548 -0.0208714 U
0.650984 0.0271068 0.650984 -0.106554 U
0.286189 0.0537374 0.286189 -0.893165 U
0.00229035 -0.00713385 0.00229035 1.18008 L
0.820633 0.00605468 0.820633 -0.0290182 U
0.811717 0.00726029 0.811717 -0.0367545 U
0.805772 0.00805735 0.805772 -0.04146 U
0.659926 0.026102 0.659926 -0.107944 U
0.77901 0.0115799 0.77901 -0.0606241 U
0.787932 0.010415 0.787932 -0.0535615 U
0.793879 0.00963415 0.793879 -0.0496243 U
0.755212 0.0146409 0.755212 -0.0762483 U
0.770087 0.012736 0.770087 -0.0667599 U
0.761162 0.0138824 0.761162 -0.0725492 U
0.235205 0.0538108 0.235205 -0.856306 U
0.752237 0.0150183 0.752237 -0.0780063 U
0.277193 0.0538503 0.277193 -0.889035 U
0.746286 0.0157693 0.746286 -0.081614 U
0.668865 0.0250834 0.668865 -0.107904 U
0.737358 0.0168855 0.737358 -0.0865063 U
0.241203 0.053876 0.241203 -0.86388 U
0.728428 0.0179887 0.728428 -0.0896507 U
0.719497 0.0190807 0.719497 -0.0929854 U
0.713542 0.0198041 0.713542 -0.0954214 U
0.683761 0.0233558 0.683761 -0.105355 U
0.163884 -0.0584594 0.163884 -0.482364 L
0.784958 0.0108042 0.784958 -0.0560816 U
0.704609 0.0208817 0.704609 -0.0986033 U
0.885977 -0.00310348 0.885977 0.0376619 L
0.888253 -0.0352444 0.888253 0.0232345 L
0.382537 -0.0669476 0.382537 -0.626371 L
0.685083 -0.0529394 0.685083 -0.179969 L
0.110416 -0.0510741 0.110416 -0.369673 L
0.298564 -0.0665449 0.298564 -0.647226 L
0.229639 -0.0638475 0.229639 -0.605137 L
0.115514 0.0465832 0.115514 -0.605984 U
0.786727 -0.0447742 0.786727 -0.0856213 L
0.472486 -0.0648351 0.472486 -0.373896 L
0.58932 -0.059283 0.58932 -0.268619 L
0.885269 -0.0355452 0.885269 0.0194377 L
0.674824 0.0243967 0.674824 -0.107022 U
0.783739 -0.0450333 0.783739 -0.0887775 L
0.682092 -0.0531588 0.682092 -0.183404 L
0.268195 0.05392 0.268195 -0.887396 U
0.776035 0.0119662 0.776035 -0.0624161 U
0.582393 0.0344292 0.582393 -1.04109 U
0.469488 -0.0649405 0.469488 -0.378364 L
0.586325 -0.0594572 0.586325 -0.271435 L
0.0378692 -0.0325918 0.0378692 0.040762 L
0.379538 -0.0669782 0.379538 -0.635809 L
0.4928 0.0427088 0.4928 -1.02756 U
0.665886 0.0254245 0.665886 -0.107948 U
0.406053 0.0489917 0.406053 -0.988452 U
0.594328 0.0332143 0.594328 -1.03997 U
0.597311 0.0329061 0.597311 -1.04097 U
0.603277 0.0322847 0.603277 -0.226781 U
0.295566 -0.0664785 0.295566 -0.640704 L
0.570455 0.0356169 0.570455 -1.03896 U
0.28319 0.0537798 0.28319 -0.889224 U
0.68674 0.0230061 0.68674 -0.104178 U
0.656945 0.0264383 0.656945 -0.107533 U
0.767112 0.0131193 0.767112 -0.0688602 U
0.609243 0.0316567 0.609243 -0.107482 U
0.653965 0.0267732 0.653965 -0.106919 U
0.564485 0.036203 0.564485 -1.04073 U
0.612225 0.0313404 0.612225 -0.104655 U
0.694056 -0.0522733 0.694056 -0.170728 L
0.501766 0.0419582 0.501766 -1.02894 U
0.692697 0.0223028 0.692697 -0.102589 U
0.648004 0.0274395 0.648004 -0.106691 U
0.5615 0.0364941 0.5615 -1.04 U
0.226645 -0.0636704 0.226645 -0.59359 L
0.764137 0.0135014 0.764137 -0.0706323 U
0.61819 0.0307034 0.61819 -0.103093 U
0.621172 0.0303827 0.621172 -0.103483 U
0.639061 0.0284312 0.639061 -0.105635 U
0.504755 0.0417043 0.504755 -1.03 U
0.63608 0.0287595 0.63608 -0.105227 U
0.627135 0.0297373 0.627135 -0.104297 U
0.630117 0.0294126 0.630117 -0.10496 U
0.55553 0.0370719 0.55553 -1.03956 U
0.691065 -0.0524966 0.691065 -0.174029 L
0.598301 -0.0587497 0.598301 -0.260525 L
0.160903 -0.0581314 0.160903 -0.47571 L
0.552544 0.0373586 0.552544 -1.03868 U
0.169272 0.0514448 0.169272 -0.773604 U
0.758187 0.0142623 0.758187 -0.0740564 U
