# x y x_over_c Cp side
0.0711217 0.0393716 0.0711217 -0.352901 U
0.00384739 0.00974394 0.00384739 0.891627 U
0.957161 -0.0137753 0.957161 0.200329 L
0.891913 -0.00396594 0.891913 0.106524 L
0.0421028 0.0318488 0.0421028 -0.16039 U
0.065262 0.0380901 0.065262 -0.303992 U
0.0799454 0.0411307 0.0799454 -0.415918 U
0.974939 -0.0165668 0.974939 0.243501 L
0.044964 0.0327476 0.044964 -0.196506 U
0.591345 0.0335208 0.591345 -0.949939 U
0.00159645 0.00420195 0.00159645 1.10757 U
0.99271 -0.0193857 0.99271 0.234568 L
0.0308097 0.0278086 0.0308097 -0.0450623 U
0.0888025 0.0427139 0.0888025 -0.437824 U
0.998405 -0.0211786 0.998405 0.342063 L
0.0252909 0.0254609 0.0252909 0.0468932 U
0.112538 0.0462093 0.112538 -0.475449 U
0.971976 -0.0161003 0.971976 0.235138 L
0.12147 0.0472941 0.12147 -0.494502 U
0.954198 -0.0133148 0.954198 0.194716 L
0.100653 0.0445809 0.100653 -0.4777 U
0.862225 0.000297375 0.862225 0.0739644 U
0.106592 0.0454225 0.106592 -0.499918 U
0.0536137 0.0352231 0.0536137 -0.256951 U
0.588361 0.0338254 0.588361 -0.949438 U
0.888945 -0.0035342 0.888945 0.103082 L
0.0172793 0.021376 0.0172793 0.210061 U
0.0594243 0.0367112 0.0594243 -0.292466 U
0.883008 -0.00267386 0.883008 0.0962915 L
0.379103 0.0505177 0.379103 -0.850354 U
0.966051 -0.015167 0.966051 0.219677 L
0.948269 -0.0123999 0.948269 0.183501 L
0.349145 0.0519245 0.349145 -0.820833 U
0.340154 0.052278 0.340154 -0.813156 U
0.939375 -0.0110401 0.939375 0.168819 L
0.0122222 0.0181571 0.0122222 0.360056 U
0.927515 -0.00923824 0.927515 0.149353 L
0.0740588 0.0399788 0.0740588 -0.394283 U
0.915651 -0.00745645 0.915651 0.133236 L
0.471874 0.0443999 0.471874 -0.911659 U
0.579409 0.0347283 0.579409 -0.945765 U
0.486822 0.043201 0.486822 -0.917187 U
0.88004 -0.0022454 0.88004 0.0927546 L
0.995544 -0.0233379 0.995544 0.182943 L
0.0828944 0.041677 0.0828944 -0.439211 U
0.274193 0.0538782 0.274193 -0.763888 U
