# x y x_over_c Cp side
0.0512139 0.0345241 0.0512139 -0.199209 U
0.0230761 0.0243014 0.0230761 0.131529 U
0.00177926 0.00466614 0.00177926 1.15529 U
0.110062 0.0458712 0.110062 -0.488163 U
0.6485 0.0273828 0.6485 -0.893448 U
0.568963 0.0357623 0.568963 -0.881084 U
0.549061 0.0376891 0.549061 -0.877689 U
0.169771 0.0514655 0.169771 -0.636691 U
0.896364 -0.00461632 0.896364 -0.958139 L
0.708083 0.0204624 0.708083 -0.903633 U
0.459414 0.0453581 0.459414 -0.841186 U
0.994949 -0.0230514 0.994949 0.0929567 L
0.329663 0.0526499 0.329663 -0.764118 U
0.836976 0.00381522 0.836976 -0.93918 U
0.698157 0.0216523 0.698157 -0.900932 U
0.777522 0.0117719 0.777522 -0.922061 U
0.289688 0.0536765 0.289688 -0.761718 U
0.975434 -0.0166355 0.975434 0.0807011 L
0.0804413 0.0411986 0.0804413 -0.358072 U
0.855918 -0.0384328 0.855918 -0.0128766 L
0.389585 0.0499469 0.389585 -0.797388 U
0.456998 -0.0653543 0.456998 -0.70787 L
0.449444 0.0460988 0.449444 -0.837131 U
0.53691 -0.0621057 0.53691 -0.737749 L
0.786229 -0.0448164 0.786229 -0.784072 L
0.656663 -0.0549639 0.656663 -0.759261 L
0.179752 0.0520365 0.179752 -0.650709 U
0.866679 -0.000335349 0.866679 -0.948238 L
0.509237 0.0413162 0.509237 -0.861891 U
0.479348 0.0438039 0.479348 -0.851333 U
0.0416442 0.0316426 0.0416442 -0.130343 U
0.926032 -0.00901593 0.926032 -0.969128 L
0.588858 0.0337725 0.588858 -0.884879 U
0.409545 0.0487757 0.409545 -0.8102 U
0.100161 0.0444894 0.100161 -0.499336 U
0.539108 0.0386269 0.539108 -0.872556 U
0.807258 0.00785683 0.807258 -0.930356 U
0.0688598 -0.0422841 0.0688598 -0.15312 L
0.24711 -0.0647668 0.24711 -0.529245 L
0.638564 0.0284846 0.638564 -0.890642 U
0.259698 0.0539422 0.259698 -0.73886 U
0.886471 -0.00317656 0.886471 -0.955781 L
