# x y x_over_c Cp side
0.995816 0.00161465 0.995816 0.206443 U
0.0168088 0.0217478 0.0168088 0.339833 U
0.918571 0.0121418 0.918571 0.131825 U
0.00363392 0.00982555 0.00363392 0.979023 U
0.808385 0.0253004 0.808385 0.0426718 U
0.706971 0.0359546 0.706971 -0.877148 U
0.608407 0.0449398 0.608407 -0.864451 U
0.0357603 0.0307123 0.0357603 -0.0263924 U
0.805404 0.0256332 0.805404 0.0409484 U
0.989935 0.00274743 0.989935 0.231808 U
0.703986 0.0362477 0.703986 -0.87727 U
0.632313 0.0428907 0.632313 -0.868288 U
0.635301 0.0426287 0.635301 -0.869239 U
0.915596 0.0125201 0.915596 0.128542 U
0.954261 0.00750412 0.954261 0.186919 U
0.605419 0.0451894 0.605419 -0.864093 U
0.497738 0.0530808 0.497738 -0.846934 U
0.0644155 0.0395047 0.0644155 -0.236167 U
0.572533 0.047823 0.572533 -0.857605 U
0.494745 0.0532657 0.494745 -0.84714 U
0.073169 0.0415848 0.073169 -0.296624 U
0.671145 0.0393911 0.671145 -0.872583 U
0.45582 0.0555055 0.45582 -0.829995 U
0.446834 0.0559717 0.446834 -0.823827 U
0.377911 0.0587757 0.377911 -0.764835 U
0.951288 0.00789787 0.951288 0.182451 U
0.419871 0.0572295 0.419871 -0.798877 U
0.972096 0.00510704 0.972096 0.225127 U
0.422867 0.057101 0.422867 -0.801289 U
0.796461 0.0266232 0.796461 0.0373659 U
0.410881 0.0576015 0.410881 -0.792482 U
0.485764 0.0538106 0.485764 -0.845323 U
0.398893 0.0580649 0.398893 -0.782593 U
0.88881 0.0158589 0.88881 0.100881 U
0.569542 0.0480528 0.569542 -0.856983 U
0.530658 0.0509083 0.530658 -0.856809 U
0.542624 0.0500585 0.542624 -0.858441 U
0.596451 0.0459286 0.596451 -0.861327 U
0.374913 0.0588658 0.374913 -0.762346 U
0.0819655 0.0434754 0.0819655 -0.325291 U
0.745764 0.0320456 0.745764 -0.882514 U
0.909644 0.0132716 0.909644 0.122229 U
0.0142774 0.0201411 0.0142774 0.392418 U
0.668159 0.0396686 0.668159 -0.871543 U
0.0907967 0.0451971 0.0907967 -0.36508 U
0.0329676 0.0296191 0.0329676 0.0201445 U
0.00946781 0.0165656 0.00946781 0.576527 U
0.981015 0.00392393 0.981015 0.249393 U
0.847121 0.0208609 0.847121 0.0676705 U
0.308942 0.0599948 0.308942 -0.712005 U
0.695031 0.0371202 0.695031 -0.87607 U
0.79348 0.0269502 0.79348 0.0365956 U
0.885833 0.0162247 0.885833 0.0977632 U
0.171098 0.0553719 0.171098 -0.568573 U
0.99863 -0.000606558 0.99863 0.307977 L
0.201019 0.0574318 0.201019 -0.602678 U
