# x y x_over_c Cp side
0.00167704 0.00470384 0.00167704 1.17119 U
0.118926 0.049712 0.118926 -0.392377 U
0.0139644 0.0197138 0.0139644 0.501293 U
0.597946 0.0458043 0.597946 -0.818738 U
0.985475 0.00333455 0.985475 0.192191 U
0.945836 0.00861234 0.945836 0.0925357 U
0.168608 0.0551568 0.168608 -0.524224 U
0.0795234 0.0429436 0.0795234 -0.29195 U
0.627831 0.0432799 0.627831 -0.824523 U
0.578015 0.0473966 0.578015 -0.811224 U
0.916091 0.0124551 0.916091 0.0568997 U
0.22848 0.0587229 0.22848 -0.596468 U
0.51819 0.0517589 0.51819 -0.793645 U
0.727365 0.0339235 0.727365 -0.851472 U
0.488258 0.0536586 0.488258 -0.790767 U
0.198524 0.0572784 0.198524 -0.522715 U
0.856553 0.0197519 0.856553 -0.890193 U
0.040944 0.0325435 0.040944 -0.0244409 U
0.617871 0.0441375 0.617871 -0.825748 U
0.796958 0.0265667 0.796958 -0.869553 U
0.358423 0.0592999 0.358423 -0.727987 U
0.717417 0.0349194 0.717417 -0.848429 U
0.0316073 0.0289846 0.0316073 0.135913 U
0.906172 0.0137045 0.906172 -0.886385 U
0.846624 0.0209179 0.846624 -0.887113 U
0.128836 0.0510297 0.128836 -0.428146 U
0.178574 0.0559454 0.178574 -0.518572 U
0.0893268 0.0448993 0.0893268 -0.355617 U
0.995216 -0.00134119 0.995216 0.177639 L
0.886329 0.0161625 0.886329 -0.90197 U
0.78702 0.0276542 0.78702 -0.86679 U
0.548108 -0.0496579 0.548108 -0.828973 L
0.478279 0.0542504 0.478279 -0.785831 U
0.707468 0.0359043 0.707468 -0.84609 U
0.647749 0.0415233 0.647749 -0.827846 U
0.538137 0.0503783 0.538137 -0.798052 U
0.508214 0.0524153 0.508214 -0.786562 U
0.826762 0.0232168 0.826762 -0.880416 U
0.667661 0.0397128 0.667661 -0.833157 U
0.568047 0.0481656 0.568047 -0.806873 U
0.926008 -0.0111875 0.926008 0.0677152 L
0.208506 0.0578309 0.208506 -0.543515 U
0.0991666 0.0466638 0.0991666 -0.383136 U
0.438347 0.0563882 0.438347 -0.763789 U
0.757199 0.0308495 0.757199 -0.859445 U
0.138761 -0.0522245 0.138761 -0.484424 L
0.796958 -0.0265667 0.796958 -0.881157 L
0.0697658 -0.0407718 0.0697658 -0.215697 L
0.448332 0.0558924 0.448332 -0.771207 U
0.677615 0.0387829 0.677615 -0.836917 U
0.308442 0.059992 0.308442 -0.712276 U
0.418373 0.0572901 0.418373 -0.757878 U
0.378411 -0.0587567 0.378411 -0.760624 L
0.268455 0.0597761 0.268455 -0.667509 U
0.558078 -0.0489198 0.558078 -0.829621 L
0.747255 0.0318892 0.747255 -0.855269 U
0.1487 0.0533047 0.1487 -0.50862 U
0.168608 -0.0551568 0.168608 -0.547095 L
0.0600671 0.0383518 0.0600671 -0.159488 U
0.408384 -0.0576982 0.408384 -0.779545 L
0.128836 -0.0510297 0.128836 -0.454534 L
0.78702 -0.0276542 0.78702 -0.880064 L
0.826762 -0.0232168 0.826762 -0.889756 L
0.816829 0.0243481 0.816829 -0.877396 U
0.040944 -0.0325435 0.040944 -0.0497343 L
0.22848 -0.0587229 0.22848 -0.613973 L
0.0991666 -0.0466638 0.0991666 -0.380418 L
0.916091 -0.0124551 0.916091 0.0594465 L
0.0225405 -0.024799 0.0225405 0.237544 L
0.378411 0.0587567 0.378411 -0.732094 U
0.528164 0.0510792 0.528164 -0.796415 U
0.876406 0.0173741 0.876406 -0.898621 U
0.248464 0.0593607 0.248464 -0.628453 U
0.935923 0.00990529 0.935923 0.0678196 U
0.0139644 -0.0197138 0.0139644 0.527878 L
0.348428 0.0595143 0.348428 -0.725721 U
0.0600671 -0.0383518 0.0600671 -0.159261 L
0.985475 -0.00333455 0.985475 0.208015 L
0.975565 0.00464748 0.975565 0.167856 U
0.118926 -0.049712 0.118926 -0.378876 L
0.288448 0.0599832 0.288448 -0.696459 U
0.288448 -0.0599832 0.288448 -0.701287 L
0.248464 -0.0593607 0.248464 -0.651934 L
0.418373 -0.0572901 0.418373 -0.784622 L
0.468298 -0.0548213 0.468298 -0.814014 L
0.0893268 -0.0448993 0.0893268 -0.323571 L
0.597946 -0.0458043 0.597946 -0.837855 L
0.777081 -0.0287307 0.777081 -0.878919 L
0.737311 0.0329142 0.737311 -0.852671 U
0.86648 0.0185712 0.86648 -0.894794 U
0.906172 -0.0137045 0.906172 0.0688651 L
0.627831 -0.0432799 0.627831 -0.843256 L
0.558078 0.0489198 0.558078 -0.804137 U
