AR,Skewness
2.50191,0.300987
2.30813,0.277887
1.84139,0.084148
2.01912,0.248938
2.31829,0.331526
2.17513,0.251891
2.38058,0.372706
1.76747,0.0322212
2.29022,0.410501
1.92608,0.159921
2.42088,0.310976
1.86425,0.159863
2.04748,0.244768
1.85644,0.0712171
2.25402,0.24507
2.73634,0.371469
2.1264,0.257699
1.83297,0.0779924
1.93047,0.16109
1.96355,0.224438
2.08374,0.198795
1.80222,0.0864259
2.17087,0.242833
1.80548,0.0982539
1.84329,0.112734
2.05089,0.22187
2.3873,0.284155
2.17775,0.232347
1.82438,0.0893927
2.1812,0.273378
2.08299,0.183665
1.96937,0.137383
2.65437,0.339967
2.25608,0.245278
1.93045,0.100382
1.9262,0.188662
1.80431,0.0661024
2.25243,0.227714
1.85724,0.081685
2.18608,0.286068
2.20455,0.314585
2.09903,0.28036
1.92762,0.175863
2.05614,0.258446
2.19611,0.267244
2.02833,0.181817
2.04037,0.225707
1.85948,0.15767
1.88415,0.188265
2.47111,0.312117
1.99467,0.143578
2.05594,0.181963
2.00164,0.167133
2.00775,0.14893
2.16108,0.343426
2.16655,0.281218
2.09343,0.247522
1.96247,0.205102
1.93411,0.133258
2.20884,0.240555
1.80129,0.0821366
2.05432,0.243711
2.20885,0.189628
1.90134,0.138267
1.8896,0.175291
2.12649,0.209855
1.88799,0.0745885
2.06719,0.273359
2.35733,0.278948
1.89481,0.117346
1.97362,0.151548
2.37095,0.356153
1.81988,0.0537352
1.95691,0.130442
2.30214,0.240885
2.09441,0.302182
1.79238,0.0712649
2.22918,0.223562
2.08092,0.30318
2.27482,0.24404
2.07205,0.168606
1.81824,0.115026
2.37976,0.276959
1.97069,0.149796
2.00423,0.116526
1.88211,0.185214
2.31163,0.230737
1.90196,0.0999271
1.9967,0.117521
1.88073,0.152707
2.13444,0.301149
1.84925,0.117253
2.6118,0.352641
2.19617,0.300709
2.07008,0.197706
2.45194,0.436153
1.78647,0.0364692
2.01882,0.144261
1.95036,0.217883
1.86151,0.0650978
2.36658,0.315741
1.87859,0.177475
2.00103,0.211672
1.81929,0.0613038
1.87174,0.120098
1.91119,0.205477
2.07866,0.282856
1.97777,0.235759
2.39874,0.41504
2.27606,0.3183
1.9208,0.144126
2.03108,0.253057
2.06732,0.220949
2.019,0.177032
2.13007,0.259017
2.11121,0.25996
2.27446,0.329623
2.48686,0.353129
1.90357,0.106965
2.04195,0.259318
1.86656,0.134144
2.26871,0.235483
2.19403,0.216226
1.90403,0.163598
2.32042,0.242189
1.79407,0.0609837
1.93678,0.227273
1.90141,0.150209
1.92923,0.097627
2.27653,0.293921
2.24667,0.206266
2.018,0.215574
2.12487,0.297296
2.39179,0.330352
2.01512,0.155734
2.53979,0.435153
1.79704,0.0691301
1.82702,0.0894806
2.239,0.21485
3.06152,0.450733
2.70413,0.341322
1.93099,0.165238
2.31878,0.256217
1.83177,0.0761534
2.20551,0.288121
2.06819,0.244389
2.03453,0.223017
1.99237,0.140439
1.93787,0.204674
1.86626,0.151615
2.31843,0.242166
1.79069,0.0815836
1.80968,0.0750745
2.0445,0.191912
1.97792,0.129389
2.31143,0.284772
2.13818,0.28478
2.55236,0.385599
1.9902,0.270662
1.93479,0.19875
1.90371,0.183619
2.34032,0.289293
1.96334,0.116314
1.97771,0.144686
2.28937,0.322998
2.47813,0.356473
2.40797,0.426699
2.40796,0.288006
2.79981,0.369837
2.06396,0.221834
2.15869,0.271857
2.05712,0.307983
1.8689,0.15819
1.90394,0.098009
2.85852,0.374431
2.08597,0.174134
1.97037,0.2146
2.34178,0.409367
2.15245,0.20708
1.81458,0.104074
2.21975,0.215345
2.32686,0.389883
2.40944,0.286606
1.95175,0.120105
2.19906,0.31674
2.0407,0.174418
2.11363,0.178651
2.06712,0.310954
2.05532,0.194426
1.97511,0.138666
1.98647,0.16402
2.11551,0.166424
1.99224,0.193503
1.91516,0.106279
1.93798,0.146618
1.99374,0.265679
2.05425,0.266619
1.99321,0.129514
2.02596,0.267759
2.0623,0.304426
2.11156,0.191733
2.03355,0.277505
1.99613,0.229273
1.85234,0.128246
2.04793,0.203026
2.16564,0.340572
1.77901,0.044263
2.10678,0.25238
2.01018,0.162146
2.45948,0.271207
2.10505,0.219001
1.88837,0.17755
2.26475,0.219289
1.85923,0.0805352
2.14828,0.175807
2.34442,0.261374
2.10543,0.262123
1.94942,0.206008
1.83637,0.0978984
1.9533,0.200754
2.01328,0.120624
2.25131,0.369307
1.80757,0.0968481
2.54632,0.288032
2.1688,0.235483
2.21362,0.222978
2.08293,0.312767
1.96913,0.165198
2.09099,0.161052
2.07491,0.204955
2.55981,0.334572
2.01886,0.145637
1.8874,0.189739
2.00082,0.162101
1.98927,0.229187
2.02741,0.221771
2.1956,0.274652
1.86137,0.0829454
1.93691,0.225205
1.91386,0.194606
2.33867,0.285484
1.8873,0.166846
2.16374,0.178284
1.82884,0.0704719
1.96928,0.161955
1.82397,0.0650394
2.03242,0.134224
2.03948,0.228376
1.85581,0.0793875
2.00709,0.264822
1.81643,0.0691747
1.95945,0.232552
1.95815,0.169371
2.45931,0.331841
2.57268,0.411175
2.04967,0.228673
1.86964,0.145873
2.29733,0.29168
2.13594,0.275111
2.0582,0.207792
1.85342,0.143491
2.14352,0.275512
1.8681,0.140613
2.64921,0.321991
2.20446,0.201941
1.8955,0.112992
2.21372,0.281225
2.05572,0.238069
2.40838,0.318059
2.25943,0.274344
2.22137,0.308856
2.01484,0.27082
1.98665,0.155518
2.19026,0.202192
1.94175,0.137558
1.81016,0.0543293
1.89418,0.198138
2.10189,0.238558
2.12815,0.327359
1.95156,0.163375
1.9282,0.222379
1.90147,0.194239
2.14443,0.24643
1.87006,0.0758486
1.98783,0.253844
2.17559,0.232022
2.09117,0.220526
1.91916,0.172221
1.94768,0.221431
2.07091,0.244007
2.31512,0.24161
1.84745,0.0592276
1.90008,0.184604
2.0405,0.234091
1.95171,0.168465
1.73982,0.0120567
1.92577,0.0986004
2.24784,0.299218
1.89414,0.120572
2.12807,0.220736
2.12858,0.240145
2.1009,0.276775
1.7693,0.0500143
2.51744,0.495503
1.91988,0.134943
1.89415,0.181803
1.96811,0.241056
1.9344,0.22487
2.04305,0.163851
2.09925,0.180877
2.23082,0.350573
2.63632,0.441184
2.19,0.296491
2.50994,0.280591
1.9402,0.177395
2.23732,0.257108
1.98999,0.204816
2.54897,0.480122
2.47784,0.284641
1.89414,0.185639
1.80861,0.0751982
1.88176,0.119185
1.98749,0.201464
2.15214,0.274155
2.30542,0.254851
1.88358,0.190551
2.16139,0.217351
2.14479,0.284654
1.96179,0.236873
2.18583,0.223618
2.24746,0.27743
1.8818,0.0999607
2.04399,0.218447
1.95635,0.142145
2.13993,0.327596
2.34986,0.289474
2.68447,0.356049
1.96521,0.108706
1.96855,0.225773
2.01094,0.177387
1.96696,0.178257
1.96877,0.241448
1.88466,0.140254
1.83966,0.0557569
1.99911,0.161227
2.07216,0.261024
1.88425,0.121428
1.85722,0.149167
2.42836,0.332073
2.26393,0.337839
1.97763,0.161804
2.0732,0.177791
1.91722,0.151788
2.08079,0.214164
2.18072,0.215
2.01324,0.216221
2.1376,0.297486
2.29552,0.396715
1.9964,0.225743
1.945,0.097299
2.0849,0.234681
1.98261,0.254004
2.54661,0.465213
2.11484,0.307151
1.91762,0.0822862
2.45017,0.422393
1.76747,0.0204386
2.23547,0.284557
1.86373,0.0830311
1.95612,0.222573
2.33818,0.381689
2.02246,0.245494
1.9582,0.196178
2.37335,0.274335
1.74422,0.0104346
2.07534,0.232831
2.16838,0.265168
1.77575,0.0449469
1.8037,0.0624784
1.96622,0.170034
1.87019,0.084534
1.9909,0.227291
1.75771,0.0171806
1.85928,0.0617885
1.93489,0.0889856
1.98662,0.125422
2.18539,0.220747
1.89551,0.175011
1.95782,0.135067
1.97013,0.129913
2.4122,0.287372
2.10603,0.239657
2.19355,0.228264
1.973,0.211586
1.94389,0.212455
1.90023,0.188865
1.9288,0.130297
3.41803,0.473369
2.22732,0.30453
1.93258,0.165956
1.953,0.210356
2.11139,0.322014
2.52951,0.367202
2.02853,0.173929
2.03903,0.21402
2.39042,0.35444
2.44834,0.358607
2.03678,0.207193
2.43086,0.29945
1.85171,0.149604
1.96433,0.16849
1.97803,0.26034
2.15438,0.210121
2.10417,0.222813
2.41645,0.334186
1.99337,0.25778
2.02622,0.280142
2.13477,0.257805
2.29326,0.253758
2.03943,0.218508
1.79132,0.0904454
2.07878,0.239395
1.97223,0.236723
2.26301,0.272508
2.16132,0.367189
1.97691,0.149835
1.93415,0.139021
1.84453,0.0682739
2.09798,0.246759
1.84054,0.117647
2.27396,0.241535
1.85594,0.118033
2.27992,0.277611
1.98194,0.206544
1.79196,0.0458651
2.0302,0.228576
1.90405,0.160606
2.06684,0.22807
1.94849,0.161522
2.04267,0.148277
1.9986,0.207132
2.18709,0.291584
1.92325,0.179673
2.2783,0.230902
2.06135,0.239192
1.97313,0.187308
1.99997,0.27669
1.96171,0.176106
2.14287,0.350787
1.99486,0.195987
2.09539,0.211205
2.37535,0.262233
2.23017,0.249286
2.5059,0.302596
