# x y x_over_c Cp side
0.0626062 0.0369664 0.0626062 -0.41083 U
0.909647 -0.0130849 0.909647 0.125749 L
0.0366349 0.0296635 0.0366349 -0.18866 U
0.740433 0.0112167 0.740433 -1.0209 U
0.549814 0.0337103 0.549814 -0.991535 U
0.657118 0.0217367 0.657118 -1.00544 U
0.844402 -0.00325369 0.844402 0.0528018 L
0.66605 0.0206589 0.66605 -1.00792 U
0.868138 -0.00675688 0.868138 0.0782991 L
0.906683 -0.0126259 0.906683 0.122499 L
0.73746 0.0116087 0.73746 -1.0195 U
0.648183 0.0228018 0.648183 -1.00325 U
0.546831 0.0340152 0.546831 -0.992141 U
0.65414 0.0220928 0.65414 -1.00425 U
0.663073 0.0210198 0.663073 -1.00669 U
0.00391702 0.00971616 0.00391702 0.850893 U
0.615414 0.0266195 0.615414 -0.997618 U
0.136729 0.0478924 0.136729 -0.642173 U
0.746379 0.0104286 0.746379 -1.02173 U
0.49608 0.0389114 0.49608 -0.976244 U
0.403401 0.0462863 0.403401 -0.932384 U
0.965917 -0.0220795 0.965917 0.21585 L
0.856272 -0.00499448 0.856272 0.0656675 L
0.355498 0.0491284 0.355498 -0.892477 U
0.9896 -0.0259306 0.9896 0.242855 L
0.948156 -0.0191852 0.948156 0.180992 L
0.352503 0.0492785 0.352503 -0.889394 U
0.516984 0.0369673 0.516984 -0.983609 U
0.829561 -0.00109819 0.829561 0.0351403 L
0.343515 0.0497066 0.343515 -0.881236 U
0.490106 0.0394496 0.490106 -0.974789 U
0.0148549 0.0197191 0.0148549 0.197058 U
0.924462 -0.0154062 0.924462 0.144807 L
0.139717 0.0481535 0.139717 -0.649784 U
0.900755 -0.0117124 0.900755 0.115327 L
0.805809 0.00229121 0.805809 -1.03293 U
0.388436 0.0472552 0.388436 -0.921923 U
0.0254724 0.0252793 0.0254724 -0.0488461 U
0.430326 0.0443882 0.430326 -0.947906 U
0.439298 0.0437082 0.439298 -0.95456 U
0.00994371 0.0162844 0.00994371 0.380337 U
0.609454 0.0272963 0.609454 -0.995843 U
0.877036 -0.00809426 0.877036 0.0883486 L
0.400408 0.0464853 0.400408 -0.929954 U
0.074343 0.0394478 0.074343 -0.449713 U
0.469191 0.0412775 0.469191 -0.968605 U
0.280569 0.0518111 0.280569 -0.841294 U
0.277571 0.0518654 0.277571 -0.841137 U
0.853304 -0.00455784 0.853304 0.0630755 L
0.838466 -0.00238854 0.838466 0.045466 L
0.487119 0.0397163 0.487119 -0.97431 U
0.707716 0.0154597 0.707716 -1.01646 U
0.274572 0.0519147 0.274572 -0.837278 U
0.826593 -0.000670215 0.826593 0.0319608 L
0.262576 0.0520661 0.262576 -0.831902 U
0.513999 0.0372516 0.513999 -0.982389 U
0.731512 0.0123882 0.731512 -1.01784 U
0.0227504 0.024021 0.0227504 -0.00194575 U
0.259577 0.0520925 0.259577 -0.829028 U
0.802839 0.00270888 0.802839 -1.03225 U
0.172404 -0.0606305 0.172404 -0.395707 L
0.957038 -0.0206242 0.957038 0.196599 L
0.0338118 0.0286517 0.0338118 -0.135113 U
0.0596855 0.0362851 0.0596855 -0.381924 U
0.974795 -0.0235429 0.974795 0.24024 L
0.178621 0.050689 0.178621 -0.733593 U
0.00898396 -0.0168329 0.00898396 0.708075 L
0.0432435 -0.0349881 0.0432435 0.0301573 L
0.537879 0.0349201 0.537879 -0.990909 U
0.241151 -0.0662287 0.241151 -0.527824 L
0.00334776 -0.0099267 0.00334776 1.14727 L
0.421036 -0.0693268 0.421036 -0.674475 L
0.151676 0.049096 0.151676 -0.690988 U
0.1996 0.0514968 0.1996 -0.751981 U
0.451022 -0.0687575 0.451022 -0.673261 L
0.888897 -0.00989521 0.888897 0.102273 L
0.124788 0.04674 0.124788 -0.613378 U
0.394045 -0.0696187 0.394045 -0.674687 L
0.445278 0.0432414 0.445278 -0.957912 U
0.0348556 -0.0317353 0.0348556 0.123334 L
0.0714016 0.0388616 0.0714016 -0.415988 U
0.0239657 -0.026712 0.0239657 0.279756 L
0.0861467 0.0415892 0.0861467 -0.488269 U
0.436308 0.0439376 0.436308 -0.952531 U
0.454247 0.0425223 0.454247 -0.962925 U
0.0538643 0.0348385 0.0538643 -0.320197 U
0.373467 0.0481543 0.373467 -0.910064 U
0.379455 0.0478036 0.379455 -0.914598 U
0.367478 0.0484925 0.367478 -0.904099 U
0.51997 -0.0666168 0.51997 -0.676262 L
0.936311 -0.0172888 0.936311 0.162511 L
0.385442 0.0474409 0.385442 -0.919861 U
0.427335 0.0446092 0.427335 -0.945913 U
0.361489 0.0488174 0.361489 -0.898032 U
0.340519 0.0498426 0.340519 -0.878258 U
0.460225 0.042031 0.460225 -0.965625 U
0.334527 0.0501053 0.334527 -0.872701 U
0.498989 -0.0673774 0.498989 -0.663502 L
0.328533 0.0503549 0.328533 -0.867269 U
0.765457 -0.0520465 0.765457 -0.0703222 L
0.316545 0.0508128 0.316545 -0.857838 U
0.645775 -0.0603015 0.645775 -0.139715 L
0.576899 -0.0640985 0.576899 -0.110955 L
0.397415 0.0466817 0.397415 -0.928356 U
0.606474 0.0276324 0.606474 -0.994707 U
0.349507 0.0494248 0.349507 -0.885557 U
0.421353 0.0450425 0.421353 -0.941701 U
0.923803 -0.0381576 0.923803 0.100985 L
0.579894 -0.0639513 0.579894 -0.116085 L
0.466203 0.0415308 0.466203 -0.967415 U
0.0831905 0.0410828 0.0831905 -0.476552 U
0.0950326 0.0430013 0.0950326 -0.537834 U
0.905893 -0.0399036 0.905893 0.0743713 L
0.896936 -0.0407553 0.896936 0.0643902 L
0.570695 0.0315339 0.570695 -0.988774 U
0.50504 0.0380913 0.50504 -0.977729 U
0.954078 -0.0201425 0.954078 0.191431 L
0.814717 0.0010298 0.814717 -1.03552 U
0.112866 0.0454028 0.112866 -0.592743 U
0.511013 0.0375338 0.511013 -0.980542 U
0.787986 0.00477651 0.787986 -1.02906 U
0.484001 -0.0678599 0.484001 -0.661138 L
0.475168 0.0407647 0.475168 -0.970271 U
0.0982597 -0.0496333 0.0982597 -0.268428 L
0.175386 -0.0609483 0.175386 -0.401113 L
0.71664 0.0143152 0.71664 -1.01635 U
0.145605 -0.0574039 0.145605 -0.389624 L
0.145695 0.0486447 0.145695 -0.674575 U
0.157661 0.0495096 0.157661 -0.703193 U
0.686887 0.0180913 0.686887 -1.01189 U
0.163647 0.0498878 0.163647 -0.713406 U
0.166641 0.0500641 0.166641 -0.719242 U
0.101203 -0.0502113 0.101203 -0.267872 L
0.484131 0.0399811 0.484131 -0.973674 U
0.0266467 -0.0280557 0.0266467 0.241533 L
0.244145 -0.0664004 0.244145 -0.530766 L
0.642227 0.0235067 0.642227 -1.00221 U
0.77313 0.00681946 0.77313 -1.02734 U
0.196602 0.0514024 0.196602 -0.747313 U
0.618394 0.026279 0.618394 -0.997666 U
0.543847 0.0343186 0.543847 -0.991058 U
0.534894 0.0352183 0.534894 -0.990276 U
0.52594 0.0361016 0.52594 -0.986658 U
0.397044 -0.0695959 0.397044 -0.673239 L
0.409385 0.045881 0.409385 -0.935525 U
0.499067 0.0386398 0.499067 -0.975332 U
0.103941 0.0442661 0.103941 -0.586979 U
0.25058 0.0521429 0.25058 -0.821625 U
0.439028 -0.0690172 0.439028 -0.672825 L
0.424035 -0.0692824 0.424035 -0.6766 L
0.885932 -0.00944326 0.885932 0.0986873 L
0.34006 -0.069517 0.34006 -0.628031 L
0.454021 -0.0686865 0.454021 -0.671652 L
0.406041 -0.0695125 0.406041 -0.673585 L
0.971836 -0.0230552 0.971836 0.232896 L
0.29856 0.0513877 0.29856 -0.844232 U
0.522955 0.0363922 0.522955 -0.985534 U
0.522967 -0.0664996 0.522967 -0.678142 L
0.463015 -0.0684601 0.463015 -0.668845 L
0.501987 -0.0672756 0.501987 -0.665205 L
0.81329 -0.0482104 0.81329 -0.0298504 L
0.711617 -0.0560032 0.711617 -0.10821 L
0.648769 -0.0601206 0.648769 -0.139102 L
0.486999 -0.0677667 0.486999 -0.659875 L
0.777417 -0.0511131 0.777417 -0.0595101 L
0.926788 -0.037861 0.926788 0.105376 L
0.768447 -0.0518147 0.768447 -0.0680186 L
0.58289 -0.0638022 0.58289 -0.121241 L
0.917834 -0.0387463 0.917834 0.0913819 L
0.899921 -0.0404723 0.899921 0.0679281 L
0.908878 -0.039617 0.908878 0.0779833 L
0.956626 -0.0348349 0.956626 0.159981 L
0.627811 -0.061364 0.627811 -0.142328 L
0.764214 0.00803307 0.764214 -1.02583 U
0.478156 0.0405054 0.478156 -0.971503 U
0.704741 0.0158391 0.704741 -1.0161 U
0.558764 0.0327861 0.558764 -0.990768 U
0.184614 0.0509555 0.184614 -0.741102 U
0.304555 0.0512119 0.304555 -0.849262 U
0.696656 -0.0570355 0.696656 -0.118666 L
0.687679 -0.057641 0.687679 -0.124136 L
0.962958 -0.0215929 0.962958 0.209938 L
0.945195 -0.0187097 0.945195 0.176489 L
0.0161718 -0.0222256 0.0161718 0.437339 L
0.289565 0.0516197 0.289565 -0.83739 U
0.190608 0.051193 0.190608 -0.744064 U
0.226587 0.0520515 0.226587 -0.793489 U
0.106914 0.0446586 0.106914 -0.574978 U
0.310073 -0.0689912 0.310073 -0.589323 L
0.121805 0.0464237 0.121805 -0.611766 U
0.798345 -0.0494422 0.798345 -0.043375 L
0.789376 -0.0501642 0.789376 -0.0498722 L
0.933349 -0.0168165 0.933349 0.157601 L
0.17263 0.0503922 0.17263 -0.729983 U
0.567713 0.031849 0.567713 -0.9892 U
0.385047 -0.0696712 0.385047 -0.670879 L
0.591569 0.0292884 0.591569 -0.990509 U
0.986459 -0.0317471 0.986459 0.21556 L
0.579642 0.0305812 0.579642 -0.987398 U
0.728538 0.0127758 0.728538 -1.01726 U
0.597532 0.0286311 0.597532 -0.991879 U
0.118913 -0.0533998 0.118913 -0.317428 L
0.779073 0.00600514 0.779073 -1.0282 U
0.9215 -0.0149388 0.9215 0.139974 L
0.87407 -0.00764709 0.87407 0.0848035 L
0.603493 0.0279669 0.603493 -0.993729 U
0.00681756 -0.0147628 0.00681756 0.791053 L
0.110047 -0.0518629 0.110047 -0.311176 L
0.897791 -0.0112569 0.897791 0.112279 L
0.915574 -0.0140085 0.915574 0.132581 L
0.57666 0.0309001 0.57666 -0.988028 U
0.627332 0.0252489 0.627332 -1.00005 U
0.286567 0.0516881 0.286567 -0.841525 U
0.755298 0.00923642 0.755298 -1.02428 U
0.63329 0.0245556 0.63329 -1.00118 U
0.986642 -0.0254345 0.986642 0.249163 L
0.202598 0.0515846 0.202598 -0.756412 U
0.980717 -0.0244962 0.980717 0.254923 L
0.862205 -0.00587253 0.862205 0.0715582 L
0.785015 0.00518696 0.785015 -1.02897 U
0.639248 0.0238575 0.639248 -1.00188 U
0.811748 0.00145163 0.811748 -1.03494 U
0.835498 -0.00195739 0.835498 0.0424252 L
0.850337 -0.00412232 0.850337 0.0597899 L
0.998193 -0.029535 0.998193 0.268352 L
0.823624 -0.00024339 0.823624 0.0284572 L
0.208594 0.0517402 0.208594 -0.765254 U
0.585606 0.0299386 0.585606 -0.988727 U
0.799868 0.0031251 0.799868 -1.03114 U
0.0979998 0.0434382 0.0979998 -0.549004 U
0.220589 0.0519727 0.220589 -0.782498 U
0.115844 0.0457554 0.115844 -0.610118 U
0.770158 0.00722508 0.770158 -1.02688 U
0.761242 0.00843537 0.761242 -1.02528 U
0.271573 0.0519593 0.271573 -0.83486 U
0.752325 0.00963509 0.752325 -1.02339 U
0.229586 0.0520821 0.229586 -0.799132 U
0.265575 0.0520351 0.265575 -0.829294 U
0.713666 0.0146977 0.713666 -1.0168 U
0.683911 0.0184623 0.683911 -1.01134 U
0.725564 0.013162 0.725564 -1.01676 U
0.701766 0.0162174 0.701766 -1.01554 U
0.677958 0.0192003 0.677958 -1.00989 U
0.695815 0.0169706 0.695815 -1.0141 U
0.235584 0.0521263 0.235584 -0.807642 U
0.256578 0.0521141 0.256578 -0.828386 U
0.672005 0.0199326 0.672005 -1.00835 U
0.680935 0.018832 0.680935 -1.01041 U
0.782044 0.00559651 0.782044 -1.02857 U
0.169422 -0.0603051 0.169422 -0.413964 L
0.882967 -0.00899241 0.882967 0.0951359 L
0.792366 -0.0499248 0.792366 -0.0477388 L
0.391046 -0.0696389 0.391046 -0.675224 L
0.307075 -0.0689192 0.307075 -0.583496 L
0.238157 -0.0660518 0.238157 -0.524373 L
0.481003 -0.0679513 0.481003 -0.662258 L
0.693664 -0.0572385 0.693664 -0.120447 L
0.89395 -0.0410377 0.89395 0.0600251 L
0.795356 -0.0496842 0.795356 -0.0456842 L
